instrument,event_ID,original_time_s,quarter_ID,Bass_provenance,role,PLP_indexing_offset_ms
BASS,HF001,47.757460317460314,Q131,B,QUARTER_FIT_OBSERVATION,-29.206349206356000
BASS,HF002,48.16816326530612,Q132,A,QUARTER_FIT_OBSERVATION,9.97732426303000
BASS,HF003,48.10114784580499,Q132,C,ADDITIONAL_EVENT,-57.03809523810000
BASS,HF004,48.577156916099774,Q133,C,QUARTER_FIT_OBSERVATION,47.451700680270000
BASS,HF006,48.92181405895692,Q134,B,QUARTER_FIT_OBSERVATION,20.589569161005000
BASS,HF005,48.761814058956915,Q134,A,ADDITIONAL_EVENT,-139.410430839000000
BASS,HF007,49.32390022675737,Q135,B,QUARTER_FIT_OBSERVATION,51.15646258504000
BASS,HF008,49.669778684807255,Q136,C,QUARTER_FIT_OBSERVATION,25.515646258505000
BASS,HF009,50.04925170068027,Q137,B,QUARTER_FIT_OBSERVATION,33.46938775510000
BASS,HF010,50.35476734693877,Q138,C,QUARTER_FIT_OBSERVATION,-32.534240362816000
BASS,HF011,51.18035963718821,Q140,C,QUARTER_FIT_OBSERVATION,73.23945578231000
BASS,HF013,51.87695827664399,Q142,C,QUARTER_FIT_OBSERVATION,26.79954648526000
BASS,HF012,51.71111111111111,Q142,A,ADDITIONAL_EVENT,-139.04761904762000
BASS,HF014,52.31174603174603,Q143,A,QUARTER_FIT_OBSERVATION,90.06802721088000
BASS,HF015,52.573556916099776,Q144,C,QUARTER_FIT_OBSERVATION,-19.640362811794000
BASS,HF016,52.980589569161,Q145,B,QUARTER_FIT_OBSERVATION,15.873015873015000
BASS,HF017,53.347755102040814,Q146,B,QUARTER_FIT_OBSERVATION,11.519274376418000
BASS,HF018,53.71591836734694,Q147,B,QUARTER_FIT_OBSERVATION,8.163265306126000
BASS,HF019,54.41233560090703,Q149,B,QUARTER_FIT_OBSERVATION,-15.238095238094000
BASS,HF020,54.78349206349206,Q150,B,QUARTER_FIT_OBSERVATION,-15.60090702948000
BASS,HF021,55.16462585034014,Q151,B,QUARTER_FIT_OBSERVATION,-5.98639455782000
BASS,HF022,55.53578231292517,Q152,B,QUARTER_FIT_OBSERVATION,-6.34920634921000
BASS,HF023,55.87335827664399,Q153,C,QUARTER_FIT_OBSERVATION,-17.07256235828000
BASS,HF024,56.22721088435374,Q154,B,QUARTER_FIT_OBSERVATION,-34.73922902495000
BASS,HF025,56.60834467120181,Q155,B,QUARTER_FIT_OBSERVATION,-1.904761904764000
BASS,HF026,56.95437006802721,Q156,C,QUARTER_FIT_OBSERVATION,-27.39863945578000
BASS,HF028,57.206984126984125,Q157,B,QUARTER_FIT_OBSERVATION,-123.083900226760000
BASS,HF027,57.181678004535144,Q157,A,ADDITIONAL_EVENT,-148.390022675741000
BASS,HF030,57.56969886621315,Q158,C,QUARTER_FIT_OBSERVATION,-108.66848072563000
BASS,HF029,57.51292517006803,Q158,A,ADDITIONAL_EVENT,-165.44217687075000
BASS,HF031,58.12697777777778,Q159,C,QUARTER_FIT_OBSERVATION,100.311111111116000
BASS,HF032,58.44044716553288,Q160,C,QUARTER_FIT_OBSERVATION,42.26122448980000
BASS,HF033,58.80335600907029,Q161,B,QUARTER_FIT_OBSERVATION,56.870748299316000
BASS,HF034,58.88162630385487,Q161,C,ADDITIONAL_EVENT,135.141043083896000
BASS,HF035,59.519727891156464,Q163,B,QUARTER_FIT_OBSERVATION,53.424036281179000
BASS,HF036,59.90485260770975,Q164,B,QUARTER_FIT_OBSERVATION,67.02947845805000
BASS,HF037,60.23609977324263,Q165,B,QUARTER_FIT_OBSERVATION,26.75736961451000
BASS,HF038,60.60526077097506,Q166,B,QUARTER_FIT_OBSERVATION,24.39909297052000
BASS,HF039,61.06585034013606,Q167,A,QUARTER_FIT_OBSERVATION,136.689342403636000
BASS,HF040,61.66848072562358,Q169,A,QUARTER_FIT_OBSERVATION,-26.938775510204000
BASS,HF042,62.051972789115645,Q170,B,QUARTER_FIT_OBSERVATION,-14.965986394555000
BASS,HF041,62.015691609977324,Q170,A,ADDITIONAL_EVENT,-51.247165532876000
BASS,HF043,62.92575011337868,Q172,C,QUARTER_FIT_OBSERVATION,115.77278911564000
BASS,HF044,63.31174603174603,Q173,A,QUARTER_FIT_OBSERVATION,130.249433106575000
BASS,HF045,63.90775510204082,Q175,B,QUARTER_FIT_OBSERVATION,6.439909297054000
BASS,HF046,64.43020408163265,Q176,A,QUARTER_FIT_OBSERVATION,157.36961451247000
BASS,HF047,64.76244897959184,Q177,A,QUARTER_FIT_OBSERVATION,141.31519274376000
BASS,HF048,64.96698412698413,Q178,A,QUARTER_FIT_OBSERVATION,-25.66893424036000
BASS,HF049,65.33052154195012,Q179,B,QUARTER_FIT_OBSERVATION,-10.43083900227000
BASS,HF050,66.05850340136055,Q181,A,QUARTER_FIT_OBSERVATION,-2.26757369613000
BASS,HF051,66.42163718820862,Q182,C,QUARTER_FIT_OBSERVATION,12.56689342404000
BASS,HF052,66.77886621315193,Q183,A,QUARTER_FIT_OBSERVATION,-1.72335600907000
BASS,HF053,66.96859002267574,Q184,C,QUARTER_FIT_OBSERVATION,-160.29886621316000
BASS,HF054,67.48861678004535,Q185,B,QUARTER_FIT_OBSERVATION,11.42857142857000
BASS,HF055,67.94321995464853,Q186,A,QUARTER_FIT_OBSERVATION,94.51247165534000
BASS,HF056,68.16441768707483,Q187,C,QUARTER_FIT_OBSERVATION,-32.58911564626000
