quarter_ID,measure,beat,BMIG_present,DMIG_present,whole_measure_blanking,BASS_anchor_present,BASS_anchor_event_ID,BASS_anchor_time_s,BASS_onset_preserved,BASS_additional_event_IDs,BASS_residual_ms,BASS_support_context,DRUM_anchor_present,DRUM_anchor_event_ID,DRUM_anchor_time_s,DRUM_onset_preserved,DRUM_additional_event_IDs,DRUM_residual_ms,DRUM_support_context
Q131,M33,1,YES,YES,NO,YES,HF001,47.757460317460314,YES,,-0.6368231318418793,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,ONE_SIDED_BOUNDARY
Q132,M33,2,YES,YES,NO,YES,HF002,48.16816326530612,YES,HF003,-1.353473574255304,DIRECT_SOFT_ANCHOR,YES,F_MIX_00253,48.12335600907029,YES,,-2.5210375136879293,DIRECT_SOFT_ANCHOR
Q133,M33,3,YES,YES,NO,YES,HF004,48.577156916099774,YES,,6.409749040635404,DIRECT_SOFT_ANCHOR,YES,F_MIX_00254,48.54131519274377,YES,,5.580483605839959,DIRECT_SOFT_ANCHOR
Q134,M33,4,YES,YES,NO,YES,HF006,48.92181405895692,YES,HF005,-8.129618873958577,DIRECT_SOFT_ANCHOR,YES,F_MIX_00255,48.901224489795915,YES,,-4.031281676951437,DIRECT_SOFT_ANCHOR
Q135,M34,1,YES,YES,NO,YES,HF007,49.32390022675737,YES,,6.082718209178495,DIRECT_SOFT_ANCHOR,YES,F_MIX_00257,49.284353741496595,YES,F_MIX_00258|F_MIX_00256,0.9623704333492356,DIRECT_SOFT_ANCHOR
Q136,M34,2,YES,YES,NO,YES,HF008,49.669778684807255,YES,,-5.227309773012223,DIRECT_SOFT_ANCHOR,YES,F_MIX_00259,49.65587301587301,YES,,1.2808773206387514,DIRECT_SOFT_ANCHOR
Q137,M34,3,YES,YES,NO,YES,HF009,50.04925170068027,YES,,9.781738037133891,DIRECT_SOFT_ANCHOR,YES,F_MIX_00260,50.01578231292517,YES,,-2.9243185920293513,DIRECT_SOFT_ANCHOR
Q138,M34,4,YES,YES,NO,YES,HF010,50.35476734693877,YES,,-10.765936145801902,DIRECT_SOFT_ANCHOR,YES,F_MIX_00261,50.39891156462585,YES,,2.834119960951398,DIRECT_SOFT_ANCHOR
Q139,M35,1,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00262,50.758820861678004,YES,,-1.4372135522222607,DIRECT_SOFT_ANCHOR
Q140,M35,2,YES,YES,NO,YES,HF011,51.18035963718821,YES,,6.8299186505242915,DIRECT_SOFT_ANCHOR,YES,F_MIX_00264,51.13034013605442,YES,,0.19219623126787155,DIRECT_SOFT_ANCHOR
Q141,M35,3,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q142,M35,4,YES,YES,NO,YES,HF013,51.87695827664399,YES,HF012,-12.184305908633064,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q143,M36,1,YES,YES,NO,YES,HF014,52.31174603174603,YES,,20.78187083488814,DIRECT_SOFT_ANCHOR,YES,F_MIX_00270,52.244897959183675,YES,F_MIX_00269,-0.515535128918998,DIRECT_SOFT_ANCHOR
Q144,M36,2,YES,YES,NO,YES,HF015,52.573556916099776,YES,,-17.43055822234396,DIRECT_SOFT_ANCHOR,YES,F_MIX_00272,52.61641723356009,YES,F_MIX_00271,0.7861025985533843,DIRECT_SOFT_ANCHOR
Q145,M36,3,YES,YES,NO,YES,HF016,52.980589569161,YES,,5.960608537975531,DIRECT_SOFT_ANCHOR,YES,F_MIX_00274,52.97632653061225,YES,,1.1965333637888875,DIRECT_SOFT_ANCHOR
Q146,M36,4,YES,YES,NO,YES,HF017,53.347755102040814,YES,,-0.6610240530164901,DIRECT_SOFT_ANCHOR,YES,F_MIX_00275,53.324625850340134,YES,,-2.592461822054304,DIRECT_SOFT_ANCHOR
Q147,M37,1,YES,YES,NO,YES,HF018,53.71591836734694,YES,,1.672153724733505,DIRECT_SOFT_ANCHOR,YES,F_MIX_00277,53.69614512471655,YES,F_MIX_00276,1.7962962043043262,DIRECT_SOFT_ANCHOR
Q148,M37,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00279,54.05605442176871,YES,,-1.4404881865957009,DIRECT_SOFT_ANCHOR
Q149,M37,3,YES,YES,NO,YES,HF019,54.41233560090703,YES,,-1.7374456976355646,DIRECT_SOFT_ANCHOR,YES,F_MIX_00281,54.427573696145124,YES,F_MIX_00280,1.203036728284701,DIRECT_SOFT_ANCHOR
Q150,M37,4,YES,YES,NO,YES,HF020,54.78349206349206,YES,,-0.7283638368562606,DIRECT_SOFT_ANCHOR,YES,F_MIX_00283,54.78748299319728,YES,,-0.15937563957635348,DIRECT_SOFT_ANCHOR
Q151,M38,1,YES,YES,NO,YES,HF021,55.16462585034014,YES,,0.4674404470605964,DIRECT_SOFT_ANCHOR,YES,F_MIX_00284,55.147392290249435,YES,,0.16737244155251574,DIRECT_SOFT_ANCHOR
Q152,M38,2,YES,YES,NO,YES,HF022,55.53578231292517,YES,,3.2729535448510205,DIRECT_SOFT_ANCHOR,YES,F_MIX_00285,55.50730158730159,YES,,-1.181588387588306,DIRECT_SOFT_ANCHOR
Q153,M38,3,YES,YES,NO,YES,HF023,55.87335827664399,YES,,-2.0164113828826657,DIRECT_SOFT_ANCHOR,YES,F_MIX_00287,55.878820861678,YES,,1.3608907731637032,DIRECT_SOFT_ANCHOR
Q154,M38,4,YES,YES,NO,YES,HF024,56.22721088435374,YES,,-4.012180432852119,DIRECT_SOFT_ANCHOR,YES,F_MIX_00289,56.23873015873016,YES,,-2.5625589474742583,DIRECT_SOFT_ANCHOR
Q155,M39,1,YES,YES,NO,YES,HF025,56.60834467120181,YES,,2.0840947146041344,DIRECT_SOFT_ANCHOR,YES,F_MIX_00291,56.610249433106574,YES,F_MIX_00290,1.3563505056666258,DIRECT_SOFT_ANCHOR
Q156,M39,2,YES,YES,NO,YES,HF026,56.95437006802721,YES,,11.87164499634008,DIRECT_SOFT_ANCHOR,YES,F_MIX_00292,56.95854875283447,YES,,10.376963726088206,DIRECT_SOFT_ANCHOR
Q157,M39,3,YES,YES,NO,YES,HF028,57.206984126984125,YES,HF027,-8.309192769203833,DIRECT_SOFT_ANCHOR,YES,F_MIX_00293,57.225578231292516,YES,,-23.162937431848718,DIRECT_SOFT_ANCHOR
Q158,M39,4,YES,YES,NO,YES,HF030,57.56969886621315,YES,HF029,-20.24943571863247,DIRECT_SOFT_ANCHOR,YES,F_MIX_00295,57.68997732426304,YES,,23.732351672371976,DIRECT_SOFT_ANCHOR
Q159,M40,1,YES,YES,NO,YES,HF031,58.12697777777778,YES,,28.158457241680424,DIRECT_SOFT_ANCHOR,YES,F_MIX_00296,57.96861678004535,YES,F_MIX_00297,-17.103172894152863,DIRECT_SOFT_ANCHOR
Q160,M40,2,YES,YES,NO,YES,HF032,58.44044716553288,YES,,-9.824189505160064,DIRECT_SOFT_ANCHOR,YES,F_MIX_00298,58.38657596371882,YES,F_MIX_00299,14.655474957791625,DIRECT_SOFT_ANCHOR
Q161,M40,3,YES,YES,NO,YES,HF033,58.80335600907029,YES,HF034,0.15130829407894453,DIRECT_SOFT_ANCHOR,YES,F_MIX_00300,58.700045351473925,YES,F_MIX_00301,-15.9048412649625,DIRECT_SOFT_ANCHOR
Q162,M40,4,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00303,59.15283446712018,YES,,9.434190238735596,DIRECT_SOFT_ANCHOR
Q163,M41,1,YES,YES,NO,YES,HF035,59.519727891156464,YES,,-3.0614205344861034,DIRECT_SOFT_ANCHOR,YES,F_MIX_00305,59.5243537414966,YES,,-1.0307514610445878,DIRECT_SOFT_ANCHOR
Q164,M41,2,YES,YES,NO,YES,HF036,59.90485260770975,YES,,7.143638919451689,DIRECT_SOFT_ANCHOR,YES,F_MIX_00306,59.88426303854875,YES,,0.29940199254241406,DIRECT_SOFT_ANCHOR
Q165,M41,3,YES,YES,NO,YES,HF037,60.23609977324263,YES,,-3.1432864717402254,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q166,M41,4,YES,YES,NO,YES,HF038,60.60526077097506,YES,,-11.58050360889007,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q167,M42,1,YES,YES,NO,YES,HF039,61.06585034013606,YES,,16.189620164041685,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q168,M42,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q169,M42,3,YES,YES,NO,YES,HF040,61.66848072562358,YES,,-6.992694627868445,DIRECT_SOFT_ANCHOR,YES,F_MIX_00317,61.61414965986395,YES,,-2.34927255298345,DIRECT_SOFT_ANCHOR
Q170,M42,4,YES,YES,NO,YES,HF042,62.051972789115645,YES,HF041,-2.2998289381206405,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q171,M43,1,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00321,62.43845804988662,YES,,1.3297472383939635,DIRECT_SOFT_ANCHOR
Q172,M43,2,YES,YES,NO,YES,HF043,62.92575011337868,YES,,1.9082663113820786,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q173,M43,3,YES,YES,NO,YES,HF044,63.31174603174603,YES,,8.688964668358778,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q174,M43,4,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00326,63.54140589569161,YES,F_MIX_00325,10.042056170263436,DIRECT_SOFT_ANCHOR
Q175,M44,1,YES,YES,NO,YES,HF045,63.90775510204082,YES,,-24.859066684719267,DIRECT_SOFT_ANCHOR,YES,F_MIX_00327,63.80843537414966,YES,,-18.894853314385784,DIRECT_SOFT_ANCHOR
Q176,M44,2,YES,YES,NO,YES,HF046,64.43020408163265,YES,,19.69145111880266,DIRECT_SOFT_ANCHOR,YES,F_MIX_00328,64.24961451247165,YES,,9.956395416153896,DIRECT_SOFT_ANCHOR
Q177,M44,3,YES,YES,NO,YES,HF047,64.76244897959184,YES,,11.331960168377009,DIRECT_SOFT_ANCHOR,YES,F_MIX_00330,64.62113378684808,YES,F_MIX_00329,0.3842337990818123,DIRECT_SOFT_ANCHOR
Q178,M44,4,YES,YES,NO,YES,HF048,64.96698412698413,YES,,-18.53964949104636,DIRECT_SOFT_ANCHOR,YES,F_MIX_00332,64.98104308390023,YES,,-1.2658229559718848,DIRECT_SOFT_ANCHOR
Q179,M45,1,YES,YES,NO,YES,HF049,65.33052154195012,YES,,4.380836566426183,DIRECT_SOFT_ANCHOR,YES,F_MIX_00334,65.34095238095239,YES,,-1.235909721813755,DIRECT_SOFT_ANCHOR
Q180,M45,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00335,65.70086167800453,YES,,2.8750285999876724,DIRECT_SOFT_ANCHOR
Q181,M45,3,YES,YES,NO,YES,HF050,66.05850340136055,YES,,-0.6887099056314128,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q182,M45,4,YES,YES,NO,YES,HF051,66.42163718820862,YES,,-1.7229938732725714,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q183,M46,1,YES,YES,NO,YES,HF052,66.77886621315193,YES,,22.77334426698019,DIRECT_SOFT_ANCHOR,YES,F_MIX_00339,66.69931972789115,YES,,-3.821571103102883,DIRECT_SOFT_ANCHOR
Q184,M46,2,YES,YES,NO,YES,HF053,66.96859002267574,YES,,-36.07968545800588,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
