instrument,quarter,native_grid_time_s,render_x_s
Bass,Q131,47.758097140592156,47.758097140592156
Drum,Q131,47.71601938403005,47.71601938403005
Bass,Q132,48.169516738880375,48.169516738880375
Drum,Q132,48.12587704658398,48.12587704658398
Bass,Q133,48.57074716705914,48.57074716705914
Drum,Q133,48.53573470913793,48.53573470913793
Bass,Q134,48.92994367783088,48.92994367783088
Drum,Q134,48.905255771472866,48.905255771472866
Bass,Q135,49.31781750854819,49.31781750854819
Drum,Q135,49.283391371063246,49.283391371063246
Bass,Q136,49.67500599458027,49.67500599458027
Drum,Q136,49.654592138552374,49.654592138552374
Bass,Q137,50.03946996264314,50.03946996264314
Drum,Q137,50.0187066315172,50.0187066315172
Bass,Q138,50.365533283084574,50.365533283084574
Drum,Q138,50.3960774446649,50.3960774446649
Bass,Q139,50.76402763484644,50.76402763484644
Drum,Q139,50.760258075230226,50.760258075230226
Bass,Q140,51.17352971853769,51.17352971853769
Drum,Q140,51.13014793982315,51.13014793982315
Bass,Q141,51.532616234767275,51.532616234767275
Drum,Q141,51.50165103821807,51.50165103821807
Bass,Q142,51.88914258255262,51.88914258255262
Drum,Q142,51.87374650988966,51.87374650988966
Bass,Q143,52.290964160911145,52.290964160911145
Drum,Q143,52.245413494312594,52.245413494312594
Bass,Q144,52.59098747432212,52.59098747432212
Drum,Q144,52.61563113096154,52.61563113096154
Bass,Q145,52.97462896062302,52.97462896062302
Drum,Q145,52.97512999724846,52.97512999724846
Bass,Q146,53.34841612609383,53.34841612609383
Drum,Q146,53.32721831216219,53.32721831216219
Bass,Q147,53.714246213622204,53.714246213622204
Drum,Q147,53.69434882851225,53.69434882851225
Bass,Q148,54.06344008124746,54.06344008124746
Drum,Q148,54.0574949099553,54.0574949099553
Bass,Q149,54.41407304660466,54.41407304660466
Drum,Q149,54.42637065941684,54.42637065941684
Bass,Q150,54.78422042732892,54.78422042732892
Drum,Q150,54.787642368836856,54.787642368836856
Bass,Q151,55.164158409893076,55.164158409893076
Drum,Q151,55.14722491780788,55.14722491780788
Bass,Q152,55.53250935938032,55.53250935938032
Drum,Q152,55.50848317568918,55.50848317568918
Bass,Q153,55.875374688026874,55.875374688026874
Drum,Q153,55.87745997090484,55.87745997090484
Bass,Q154,56.23122306478659,56.23122306478659
Drum,Q154,56.24129271767763,56.24129271767763
Bass,Q155,56.60626057648721,56.60626057648721
Drum,Q155,56.60889308260091,56.60889308260091
Bass,Q156,56.94249842303087,56.94249842303087
Drum,Q156,56.94817178910838,56.94817178910838
Bass,Q157,57.21529331975333,57.21529331975333
Drum,Q157,57.248741168724365,57.248741168724365
Bass,Q158,57.589948301931784,57.589948301931784
Drum,Q158,57.66624497259067,57.66624497259067
Bass,Q159,58.0988193205361,58.0988193205361
Drum,Q159,57.985719952939505,57.985719952939505
Bass,Q160,58.45027135503804,58.45027135503804
Drum,Q160,58.37192048876103,58.37192048876103
Bass,Q161,58.80320470077621,58.80320470077621
Drum,Q161,58.71595019273889,58.71595019273889
Bass,Q162,59.15933262100672,59.15933262100672
Drum,Q162,59.143400276881444,59.143400276881444
Bass,Q163,59.52278931169095,59.52278931169095
Drum,Q163,59.52538449295764,59.52538449295764
Bass,Q164,59.8977089687903,59.8977089687903
Drum,Q164,59.88396363655621,59.88396363655621
Bass,Q165,60.23924305971437,60.23924305971437
Drum,Q165,60.224706479889086,60.224706479889086
Bass,Q166,60.61684127458395,60.61684127458395
Drum,Q166,60.557972227048936,60.557972227048936
Bass,Q167,61.04966071997202,61.04966071997202
Drum,Q167,60.89412008212842,60.89412008212842
Bass,Q168,61.37157044470936,61.37157044470936
Drum,Q168,61.243509249220196,61.243509249220196
Bass,Q169,61.67547342025145,61.67547342025145
Drum,Q169,61.61649893241693,61.61649893241693
Bass,Q170,62.054272618053766,62.054272618053766
Drum,Q170,62.02344833581129,62.02344833581129
Bass,Q171,62.48898789552586,62.48898789552586
Drum,Q171,62.437128302648226,62.437128302648226
Bass,Q172,62.9238418470673,62.9238418470673
Drum,Q172,62.83030967617271,62.83030967617271
Bass,Q173,63.303057067077674,63.303057067077674
Drum,Q173,63.197039255444,63.197039255444
Bass,Q174,63.60138841093861,63.60138841093861
Drum,Q174,63.53136383952135,63.53136383952135
Bass,Q175,63.932614168725536,63.932614168725536
Drum,Q175,63.827330227464046,63.827330227464046
Bass,Q176,64.41051263051385,64.41051263051385
Drum,Q176,64.2396581170555,64.2396581170555
Bass,Q177,64.75111701942346,64.75111701942346
Drum,Q177,64.620749553049,64.620749553049
Bass,Q178,64.98552377647518,64.98552377647518
Drum,Q178,64.9823089068562,64.9823089068562
Bass,Q179,65.3261407053837,65.3261407053837
Drum,Q179,65.3421882906742,65.3421882906742
Bass,Q180,65.68874121800708,65.68874121800708
Drum,Q180,65.69798664940454,65.69798664940454
Bass,Q181,66.05919211126619,66.05919211126619
Drum,Q181,66.02752837239977,66.02752837239977
Bass,Q182,66.4233601820819,66.4233601820819
Drum,Q182,66.35463830661223,66.35463830661223
Bass,Q183,66.75609286888495,66.75609286888495
Drum,Q183,66.70314129899425,66.70314129899425
Bass,Q184,67.00466970813375,67.00466970813375
Drum,Q184,67.09686219649821,67.09686219649821
Bass,Q185,67.4807437445583,67.4807437445583
Drum,Q185,67.49848070842671,67.49848070842671
Bass,Q186,67.91869305556057,67.91869305556057
Drum,Q186,67.87067654408241,67.87067654408241
Bass,Q187,68.17886428633545,68.17886428633545
Drum,Q187,68.20696869018532,68.20696869018532
Bass,Q188,68.5140344674853,68.5140344674853
Drum,Q188,68.52089043040456,68.52089043040456
Bass,Q189,68.94583504144258,68.94583504144258
Drum,Q189,68.85234448616959,68.85234448616959
Bass,Q190,69.28905844253032,69.28905844253032
