quarter_ID,measure,beat,BMIG_time_s,BASS_anchor_yes_no,BASS_anchor_event_ID,BASS_anchor_time_s,additional_BASS_event_IDs,BMIG_minus_anchor_ms,support_context
Q131,M33,1,47.758097140592156,YES,HF001,47.757460317460314,,0.6368231318418793,DIRECT_SOFT_ANCHOR
Q132,M33,2,48.169516738880375,YES,HF002,48.16816326530612,HF003,1.353473574255304,DIRECT_SOFT_ANCHOR
Q133,M33,3,48.57074716705914,YES,HF004,48.577156916099774,,-6.409749040635404,DIRECT_SOFT_ANCHOR
Q134,M33,4,48.92994367783088,YES,HF006,48.92181405895692,HF005,8.129618873958577,DIRECT_SOFT_ANCHOR
Q135,M34,1,49.31781750854819,YES,HF007,49.32390022675737,,-6.082718209178495,DIRECT_SOFT_ANCHOR
Q136,M34,2,49.67500599458027,YES,HF008,49.669778684807255,,5.227309773012223,DIRECT_SOFT_ANCHOR
Q137,M34,3,50.03946996264314,YES,HF009,50.04925170068027,,-9.781738037133891,DIRECT_SOFT_ANCHOR
Q138,M34,4,50.365533283084574,YES,HF010,50.35476734693877,,10.765936145801902,DIRECT_SOFT_ANCHOR
Q139,M35,1,50.76402763484644,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q140,M35,2,51.17352971853769,YES,HF011,51.18035963718821,,-6.8299186505242915,DIRECT_SOFT_ANCHOR
Q141,M35,3,51.532616234767275,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q142,M35,4,51.88914258255262,YES,HF013,51.87695827664399,HF012,12.184305908633064,DIRECT_SOFT_ANCHOR
Q143,M36,1,52.290964160911145,YES,HF014,52.31174603174603,,-20.78187083488814,DIRECT_SOFT_ANCHOR
Q144,M36,2,52.59098747432212,YES,HF015,52.573556916099776,,17.43055822234396,DIRECT_SOFT_ANCHOR
Q145,M36,3,52.97462896062302,YES,HF016,52.980589569161,,-5.960608537975531,DIRECT_SOFT_ANCHOR
Q146,M36,4,53.34841612609383,YES,HF017,53.347755102040814,,0.6610240530164901,DIRECT_SOFT_ANCHOR
Q147,M37,1,53.714246213622204,YES,HF018,53.71591836734694,,-1.672153724733505,DIRECT_SOFT_ANCHOR
Q148,M37,2,54.06344008124746,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q149,M37,3,54.41407304660466,YES,HF019,54.41233560090703,,1.7374456976355646,DIRECT_SOFT_ANCHOR
Q150,M37,4,54.78422042732892,YES,HF020,54.78349206349206,,0.7283638368562606,DIRECT_SOFT_ANCHOR
Q151,M38,1,55.164158409893076,YES,HF021,55.16462585034014,,-0.4674404470605964,DIRECT_SOFT_ANCHOR
Q152,M38,2,55.53250935938032,YES,HF022,55.53578231292517,,-3.2729535448510205,DIRECT_SOFT_ANCHOR
Q153,M38,3,55.875374688026874,YES,HF023,55.87335827664399,,2.0164113828826657,DIRECT_SOFT_ANCHOR
Q154,M38,4,56.23122306478659,YES,HF024,56.22721088435374,,4.012180432852119,DIRECT_SOFT_ANCHOR
Q155,M39,1,56.60626057648721,YES,HF025,56.60834467120181,,-2.0840947146041344,DIRECT_SOFT_ANCHOR
Q156,M39,2,56.94249842303087,YES,HF026,56.95437006802721,,-11.87164499634008,DIRECT_SOFT_ANCHOR
Q157,M39,3,57.21529331975333,YES,HF028,57.206984126984125,HF027,8.309192769203833,DIRECT_SOFT_ANCHOR
Q158,M39,4,57.589948301931784,YES,HF030,57.56969886621315,HF029,20.24943571863247,DIRECT_SOFT_ANCHOR
Q159,M40,1,58.0988193205361,YES,HF031,58.12697777777778,,-28.158457241680424,DIRECT_SOFT_ANCHOR
Q160,M40,2,58.45027135503804,YES,HF032,58.44044716553288,,9.824189505160064,DIRECT_SOFT_ANCHOR
Q161,M40,3,58.80320470077621,YES,HF033,58.80335600907029,HF034,-0.15130829407894453,DIRECT_SOFT_ANCHOR
Q162,M40,4,59.15933262100672,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q163,M41,1,59.52278931169095,YES,HF035,59.519727891156464,,3.0614205344861034,DIRECT_SOFT_ANCHOR
Q164,M41,2,59.8977089687903,YES,HF036,59.90485260770975,,-7.143638919451689,DIRECT_SOFT_ANCHOR
Q165,M41,3,60.23924305971437,YES,HF037,60.23609977324263,,3.1432864717402254,DIRECT_SOFT_ANCHOR
Q166,M41,4,60.61684127458395,YES,HF038,60.60526077097506,,11.58050360889007,DIRECT_SOFT_ANCHOR
Q167,M42,1,61.04966071997202,YES,HF039,61.06585034013606,,-16.189620164041685,DIRECT_SOFT_ANCHOR
Q168,M42,2,61.37157044470936,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q169,M42,3,61.67547342025145,YES,HF040,61.66848072562358,,6.992694627868445,DIRECT_SOFT_ANCHOR
Q170,M42,4,62.054272618053766,YES,HF042,62.051972789115645,HF041,2.2998289381206405,DIRECT_SOFT_ANCHOR
Q171,M43,1,62.48898789552586,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q172,M43,2,62.9238418470673,YES,HF043,62.92575011337868,,-1.9082663113820786,DIRECT_SOFT_ANCHOR
Q173,M43,3,63.303057067077674,YES,HF044,63.31174603174603,,-8.688964668358778,DIRECT_SOFT_ANCHOR
Q174,M43,4,63.60138841093861,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q175,M44,1,63.932614168725536,YES,HF045,63.90775510204082,,24.859066684719267,DIRECT_SOFT_ANCHOR
Q176,M44,2,64.41051263051385,YES,HF046,64.43020408163265,,-19.69145111880266,DIRECT_SOFT_ANCHOR
Q177,M44,3,64.75111701942346,YES,HF047,64.76244897959184,,-11.331960168377009,DIRECT_SOFT_ANCHOR
Q178,M44,4,64.98552377647518,YES,HF048,64.96698412698413,,18.53964949104636,DIRECT_SOFT_ANCHOR
Q179,M45,1,65.3261407053837,YES,HF049,65.33052154195012,,-4.380836566426183,DIRECT_SOFT_ANCHOR
Q180,M45,2,65.68874121800708,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q181,M45,3,66.05919211126619,YES,HF050,66.05850340136055,,0.6887099056314128,DIRECT_SOFT_ANCHOR
Q182,M45,4,66.4233601820819,YES,HF051,66.42163718820862,,1.7229938732725714,DIRECT_SOFT_ANCHOR
Q183,M46,1,66.75609286888495,YES,HF052,66.77886621315193,,-22.77334426698019,DIRECT_SOFT_ANCHOR
Q184,M46,2,67.00466970813375,YES,HF053,66.96859002267574,,36.07968545800588,DIRECT_SOFT_ANCHOR
Q185,M46,3,67.4807437445583,YES,HF054,67.48861678004535,,-7.873035487051538,DIRECT_SOFT_ANCHOR
Q186,M46,4,67.91869305556057,YES,HF055,67.94321995464853,,-24.526899087959464,DIRECT_SOFT_ANCHOR
Q187,M47,1,68.17886428633545,YES,HF056,68.16441768707483,,14.446599260622861,DIRECT_SOFT_ANCHOR
Q188,M47,2,68.5140344674853,YES,HF057,68.50110702947846,,12.92743800684093,DIRECT_SOFT_ANCHOR
Q189,M47,3,68.94583504144258,YES,HF058,68.96426303854875,,-18.42799710617271,DIRECT_SOFT_ANCHOR
Q190,M47,4,69.28905844253032,YES,HF059,69.28025941043084,,8.799032099474857,DIRECT_SOFT_ANCHOR
Q191,M48,1,69.65334505877024,YES,HF060,69.65632653061225,,-2.9814718420055897,DIRECT_SOFT_ANCHOR
Q192,M48,2,70.00755076459265,YES,HF061,70.00589569160998,,1.655072982671868,DIRECT_SOFT_ANCHOR
Q193,M48,3,70.3682349838998,YES,HF062,70.36907029478458,,-0.8353108847813928,DIRECT_SOFT_ANCHOR
Q194,M48,4,70.72547597287105,YES,HF063,70.72526077097505,,0.21520189599755213,DIRECT_SOFT_ANCHOR
