instrument,quarter_ID,continuous_s,anchored_s,signed_change_ms
BASS,Q131,47.78713387418969,47.758097140592156,-29.036733597536113
DRUM,Q131,47.77011289428042,47.71601938403005,-54.09351025037523
BASS,Q132,48.16785069776891,48.169516738880375,1.666041111462846
DRUM,Q132,48.148409010958424,48.12587704658398,-22.531964374444158
BASS,Q133,48.54566754748456,48.57074716705914,25.079619574576384
DRUM,Q133,48.52527518983406,48.53573470913793,10.459519303864795
BASS,Q134,48.92071262080323,48.92994367783088,9.231057027648149
DRUM,Q134,48.90067387903878,48.905255771472866,4.581892434089241
BASS,Q135,49.29346265836526,49.31781750854819,24.35485018293093
DRUM,Q135,49.27464479694795,49.283391371063246,8.74657411529256
BASS,Q136,49.664711066677924,49.67500599458027,10.294927902343431
DRUM,Q136,49.64722073686853,49.654592138552374,7.3714016838408725
BASS,Q137,50.0342473724039,50.03946996264314,5.2225902392422086
DRUM,Q137,50.01877384259911,50.0187066315172,-0.06721108191243275
BASS,Q138,50.40327231708028,50.365533283084574,-37.739033995705995
DRUM,Q138,50.38927407267375,50.3960774446649,6.803371991146889
BASS,Q139,50.77190915675817,50.76402763484644,-7.881521911727418
DRUM,Q139,50.75896995366161,50.760258075230226,1.288121568613576
BASS,Q140,51.14017571775826,51.17352971853769,33.35400077942552
DRUM,Q140,51.128055212857525,51.13014793982315,2.0927269656283443
BASS,Q141,51.508149600872606,51.532616234767275,24.466633894668632
DRUM,Q141,51.496635582588254,51.50165103821807,5.015455629816756
BASS,Q142,51.875802158082855,51.88914258255262,13.340424469767242
DRUM,Q142,51.864760788742366,51.87374650988966,8.985721147297454
BASS,Q143,52.243035332229795,52.290964160911145,47.928828681349955
DRUM,Q143,52.23238211068171,52.245413494312594,13.031383630881521
BASS,Q144,52.60966048763795,52.59098747432212,-18.673013315833487
DRUM,Q144,52.59937949443804,52.61563113096154,16.251636523499258
BASS,Q145,52.97527990713313,52.97462896062302,-0.6509465101061096
DRUM,Q145,52.96561174421113,52.97512999724846,9.518253037327895
BASS,Q146,53.33979666456101,53.34841612609383,8.619461532823891
DRUM,Q146,53.33088052201003,53.32721831216219,-3.6622098478389375
BASS,Q147,53.70330316583262,53.714246213622204,10.943047789581328
DRUM,Q147,53.695284444381535,53.69434882851225,-0.9356158692881422
BASS,Q148,54.066102180259776,54.06344008124746,-2.6620990123191746
DRUM,Q148,54.05891195579535,54.0574949099553,-1.4170458400499797
BASS,Q149,54.428388999891,54.41407304660466,-14.31595328633506
DRUM,Q149,54.42195927967754,54.42637065941684,4.41137973930239
BASS,Q150,54.790214924669705,54.78422042732892,-5.994497340786609
DRUM,Q150,54.784532168763185,54.787642368836856,3.11020007367091
BASS,Q151,55.151626010571555,55.164158409893076,12.532399321521837
DRUM,Q151,55.1465995377046,55.14722491780788,0.6253801032798378
BASS,Q152,55.51250275376266,55.53250935938032,20.006605617659545
DRUM,Q152,55.50804878618235,55.50848317568918,0.43438950682883615
BASS,Q153,55.873173138011836,55.875374688026874,2.2015500150374123
DRUM,Q153,55.868759016248696,55.87745997090484,8.700954656141846
BASS,Q154,56.23426580304173,56.23122306478659,-3.0427382551394544
DRUM,Q154,56.228575941692924,56.24129271767763,12.716775984706885
BASS,Q155,56.59657464964748,56.60626057648721,9.685926839729575
DRUM,Q155,56.58754780028056,56.60889308260091,21.345282320346826
BASS,Q156,56.96020950017181,56.94249842303087,-17.711077140937448
DRUM,Q156,56.94600228674748,56.94817178910838,2.1695023608998554
BASS,Q157,57.324953598236725,57.21529331975333,-109.66027848339621
DRUM,Q157,57.304622412256684,57.248741168724365,-55.88124353231905
BASS,Q158,57.690443462850425,57.589948301931784,-100.49516091864064
DRUM,Q158,57.66457898022886,57.66624497259067,1.6659923618078665
BASS,Q159,58.05638200822718,58.0988193205361,42.43731230891967
DRUM,Q159,58.02762938423713,57.985719952939505,-41.90943129762559
BASS,Q160,58.42265956875052,58.45027135503804,27.611786287522477
DRUM,Q160,58.39350289502793,58.37192048876103,-21.582406266901444
