quarter_ID,measure,beat,DMIG_time_s,DRUM_anchor_yes_no,DRUM_anchor_event_ID,DRUM_anchor_time_s,additional_DRUM_event_IDs,DMIG_minus_anchor_ms,support_context
Q131,M33,1,47.71601938403005,NO,,,,,ONE_SIDED_BOUNDARY
Q132,M33,2,48.12587704658398,YES,F_MIX_00253,48.12335600907029,,2.5210375136879293,DIRECT_SOFT_ANCHOR
Q133,M33,3,48.53573470913793,YES,F_MIX_00254,48.54131519274377,,-5.580483605839959,DIRECT_SOFT_ANCHOR
Q134,M33,4,48.905255771472866,YES,F_MIX_00255,48.901224489795915,,4.031281676951437,DIRECT_SOFT_ANCHOR
Q135,M34,1,49.283391371063246,YES,F_MIX_00257,49.284353741496595,F_MIX_00258|F_MIX_00256,-0.9623704333492356,DIRECT_SOFT_ANCHOR
Q136,M34,2,49.654592138552374,YES,F_MIX_00259,49.65587301587301,,-1.2808773206387514,DIRECT_SOFT_ANCHOR
Q137,M34,3,50.0187066315172,YES,F_MIX_00260,50.01578231292517,,2.9243185920293513,DIRECT_SOFT_ANCHOR
Q138,M34,4,50.3960774446649,YES,F_MIX_00261,50.39891156462585,,-2.834119960951398,DIRECT_SOFT_ANCHOR
Q139,M35,1,50.760258075230226,YES,F_MIX_00262,50.758820861678004,,1.4372135522222607,DIRECT_SOFT_ANCHOR
Q140,M35,2,51.13014793982315,YES,F_MIX_00264,51.13034013605442,,-0.19219623126787155,DIRECT_SOFT_ANCHOR
Q141,M35,3,51.50165103821807,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q142,M35,4,51.87374650988966,NO,,,,,SAME_INSTRUMENT_BRIDGE
Q143,M36,1,52.245413494312594,YES,F_MIX_00270,52.244897959183675,F_MIX_00269,0.515535128918998,DIRECT_SOFT_ANCHOR
Q144,M36,2,52.61563113096154,YES,F_MIX_00272,52.61641723356009,F_MIX_00271,-0.7861025985533843,DIRECT_SOFT_ANCHOR
Q145,M36,3,52.97512999724846,YES,F_MIX_00274,52.97632653061225,,-1.1965333637888875,DIRECT_SOFT_ANCHOR
Q146,M36,4,53.32721831216219,YES,F_MIX_00275,53.324625850340134,,2.592461822054304,DIRECT_SOFT_ANCHOR
