instrument,quarter_ID,measure,old_s,new_s,signed_change_ms,absolute_change_ms,old_common10
BASS,Q131,M33,47.763533900226754,47.758097140592156,-5.436759634598332,5.436759634598332,YES
DRUM,Q131,M33,47.73442176870748,47.71601938403005,-18.402384677429495,18.402384677429495,YES
BASS,Q132,M33,48.16208968253968,48.169516738880375,7.427056340695515,7.427056340695515,YES
DRUM,Q132,M33,48.12335600907029,48.12587704658398,2.5210375136879293,2.5210375136879293,YES
BASS,Q133,M33,48.56064546485261,48.57074716705914,10.101702206526397,10.101702206526397,YES
DRUM,Q133,M33,48.5122902494331,48.53573470913793,23.44445970482667,23.44445970482667,YES
BASS,Q134,M33,48.95920124716554,48.92994367783088,-29.257569334660616,29.257569334660616,YES
DRUM,Q134,M33,48.90122448979591,48.905255771472866,4.0312816769585424,4.0312816769585424,YES
BASS,Q135,M34,49.324464247921384,49.31781750854819,-6.646739373195487,6.646739373195487,YES
DRUM,Q135,M34,49.284353741496595,49.283391371063246,-0.9623704333492356,0.9623704333492356,YES
BASS,Q136,M34,49.66921466364323,49.67500599458027,5.791330937036321,5.791330937036321,YES
DRUM,Q136,M34,49.65587301587301,49.654592138552374,-1.2808773206387514,1.2808773206387514,YES
BASS,Q137,M34,50.01396507936507,50.03946996264314,25.504883278067325,25.504883278067325,YES
DRUM,Q137,M34,50.02739229024943,50.0187066315172,-8.685658732233037,8.685658732233037,YES
BASS,Q138,M34,50.35871549508692,50.365533283084574,6.817787997654534,6.817787997654534,YES
DRUM,Q138,M34,50.39891156462585,50.3960774446649,-2.834119960951398,2.834119960951398,YES
BASS,Q143,M36,52.27354497354498,52.290964160911145,17.419187366165545,17.419187366165545,YES
DRUM,Q143,M36,52.25070294784581,52.245413494312594,-5.289453533215749,5.289453533215749,YES
BASS,Q144,M36,52.62979591836735,52.59098747432212,-38.80844404523032,38.80844404523032,YES
DRUM,Q144,M36,52.610612244897965,52.61563113096154,5.018886063574257,5.018886063574257,YES
BASS,Q145,M36,52.98604686318972,52.97462896062302,-11.417902566698501,11.417902566698501,YES
DRUM,Q145,M36,52.97052154195012,52.97512999724846,4.608455298338754,4.608455298338754,YES
BASS,Q146,M36,53.34229780801209,53.34841612609383,6.11831808173946,6.11831808173946,YES
DRUM,Q146,M36,53.330430839002275,53.32721831216219,-3.2125268400875484,3.2125268400875484,YES
BASS,Q147,M37,53.71591836734694,53.714246213622204,-1.672153724733505,1.672153724733505,YES
DRUM,Q147,M37,53.69469387755102,53.69434882851225,-0.3450490387706395,0.3450490387706395,YES
BASS,Q148,M37,54.07177626606198,54.06344008124746,-8.336184814524472,8.336184814524472,YES
DRUM,Q148,M37,54.05944066515495,54.0574949099553,-1.9457551996495681,1.9457551996495681,YES
BASS,Q149,M37,54.42763416477702,54.41407304660466,-13.561118172354725,13.561118172354725,YES
DRUM,Q149,M37,54.42418745275888,54.42637065941684,2.183206657960568,2.183206657960568,YES
BASS,Q150,M37,54.78349206349206,54.78422042732892,0.7283638368562606,0.7283638368562606,YES
DRUM,Q150,M37,54.78893424036281,54.787642368836856,-1.2918715259573332,1.2918715259573332,YES
BASS,Q151,M38,55.16522505668935,55.164158409893076,-1.0666467962749948,1.0666467962749948,YES
DRUM,Q151,M38,55.14594104308391,55.14722491780788,1.2838747239740655,1.2838747239740655,YES
BASS,Q152,M38,55.51924886621316,55.53250935938032,13.260493167159382,13.260493167159382,YES
DRUM,Q152,M38,55.510687830687836,55.50848317568918,-2.204654998656963,2.204654998656963,YES
BASS,Q153,M38,55.87327267573696,55.875374688026874,2.102012289910249,2.102012289910249,YES
DRUM,Q153,M38,55.87543461829176,55.87745997090484,2.0253526130744604,2.0253526130744604,YES
BASS,Q154,M38,56.22729648526077,56.23122306478659,3.9265795258174307,3.9265795258174307,YES
