quarter_ID,measure,beat,BMIG_present,DMIG_present,whole_measure_blanking,BASS_anchor_present,BASS_anchor_event_ID,BASS_anchor_time_s,BASS_onset_preserved,BASS_additional_event_IDs,BASS_residual_ms,BASS_support_context,DRUM_anchor_present,DRUM_anchor_event_ID,DRUM_anchor_time_s,DRUM_onset_preserved,DRUM_additional_event_IDs,DRUM_residual_ms,DRUM_support_context
Q131,M33,1,YES,YES,NO,YES,HF001,47.757460317460314,YES,,-0.6368231318418793,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,ONE_SIDED_BOUNDARY
Q139,M35,1,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00262,50.758820861678004,YES,,-1.4372135522222607,DIRECT_SOFT_ANCHOR
Q142,M35,4,YES,YES,NO,YES,HF013,51.87695827664399,YES,HF012,-12.184305908633064,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q148,M37,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00279,54.05605442176871,YES,,-1.4404881865957009,DIRECT_SOFT_ANCHOR
Q162,M40,4,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00303,59.15283446712018,YES,,9.434190238735596,DIRECT_SOFT_ANCHOR
Q165,M41,3,YES,YES,NO,YES,HF037,60.23609977324263,YES,,-3.1432864717402254,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q166,M41,4,YES,YES,NO,YES,HF038,60.60526077097506,YES,,-11.58050360889007,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q167,M42,1,YES,YES,NO,YES,HF039,61.06585034013606,YES,,16.189620164041685,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q168,M42,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q169,M42,3,YES,YES,NO,YES,HF040,61.66848072562358,YES,,-6.992694627868445,DIRECT_SOFT_ANCHOR,YES,F_MIX_00317,61.61414965986395,YES,,-2.34927255298345,DIRECT_SOFT_ANCHOR
Q170,M42,4,YES,YES,NO,YES,HF042,62.051972789115645,YES,HF041,-2.2998289381206405,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q171,M43,1,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00321,62.43845804988662,YES,,1.3297472383939635,DIRECT_SOFT_ANCHOR
Q172,M43,2,YES,YES,NO,YES,HF043,62.92575011337868,YES,,1.9082663113820786,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q173,M43,3,YES,YES,NO,YES,HF044,63.31174603174603,YES,,8.688964668358778,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q174,M43,4,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00326,63.54140589569161,YES,F_MIX_00325,10.042056170263436,DIRECT_SOFT_ANCHOR
Q180,M45,2,YES,YES,NO,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE,YES,F_MIX_00335,65.70086167800453,YES,,2.8750285999876724,DIRECT_SOFT_ANCHOR
Q181,M45,3,YES,YES,NO,YES,HF050,66.05850340136055,YES,,-0.6887099056314128,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q182,M45,4,YES,YES,NO,YES,HF051,66.42163718820862,YES,,-1.7229938732725714,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q184,M46,2,YES,YES,NO,YES,HF053,66.96859002267574,YES,,-36.07968545800588,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q188,M47,2,YES,YES,NO,YES,HF057,68.50110702947846,YES,,-12.92743800684093,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
Q189,M47,3,YES,YES,NO,YES,HF058,68.96426303854875,YES,,18.42799710617271,DIRECT_SOFT_ANCHOR,YES,F_MIX_00351,68.84716553287981,YES,,-5.178953289771471,DIRECT_SOFT_ANCHOR
Q190,M47,4,YES,YES,NO,YES,HF059,69.28025941043084,YES,,-8.799032099474857,DIRECT_SOFT_ANCHOR,NO,,,NOT_PRESENT,,,SAME_INSTRUMENT_BRIDGE
