measure,beat,quarter_ID,PLP_time_s,Bass_support_N_measure,Bass_grid_eligible,Bass_observed_support,Bass_event_ID,Bass_observed_time_s,BMIG_time_s,Bass_residual_ms,Bass_point_status,Bass_timing_provenance,Drum_support_N_measure,Drum_grid_eligible,Drum_observed_support,Drum_event_ID,Drum_observed_time_s,DMIG_time_s,Drum_residual_ms,Drum_point_status,Drum_timing_provenance,GRID_DELTA_ms,measure_comparison_eligible,notes
M33,1,Q131,47.78666666666667,4,YES,YES,HF001,47.757460317460314,47.763533900226754,-6.073582766440211,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,3,YES,NO,,,47.73442176870748,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,29.11213151927683,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M33,2,Q132,48.15818594104309,4,YES,YES,HF002,48.16816326530612,48.16208968253968,6.073582766440211,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,3,YES,YES,F_MIX_00253,48.12335600907029,48.12335600907029,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,38.7336734693875,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M33,3,Q133,48.529705215419504,4,YES,YES,HF004,48.577156916099774,48.56064546485261,16.5114512471618,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,3,YES,YES,F_MIX_00254,48.54131519274377,48.5122902494331,29.02494331066663,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,48.355215419512376,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M33,4,Q134,48.901224489795915,4,YES,YES,HF006,48.92181405895692,48.95920124716554,-37.38718820861919,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,3,YES,YES,F_MIX_00255,48.901224489795915,48.90122448979591,7.105427357601002e-12,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,57.97675736963015,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M34,1,Q135,49.27274376417233,4,YES,YES,HF007,49.32390022675737,49.324464247921384,-0.5640211640169923,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00257,49.284353741496595,49.284353741496595,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,40.11050642478864,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M34,2,Q136,49.64426303854875,4,YES,YES,HF008,49.669778684807255,49.66921466364323,0.5640211640240977,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00259,49.65587301587301,49.65587301587301,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,13.341647770218401,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M34,3,Q137,50.01578231292517,4,YES,YES,HF009,50.04925170068027,50.01396507936507,35.28662131520122,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00260,50.01578231292517,50.02739229024943,-11.609977324262388,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-13.427210884358942,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M34,4,Q138,50.387301587301586,4,YES,YES,HF010,50.35476734693877,50.35871549508692,-3.948148148147368,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00261,50.39891156462585,50.39891156462585,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-40.19606953892918,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M35,1,Q139,50.758820861678004,2,NO,NO,,,,,NO_GRID,,2,NO,YES,F_MIX_00262,50.758820861678004,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M35,2,Q140,51.1071201814059,2,NO,YES,HF011,51.18035963718821,,,NO_GRID,C,2,NO,YES,F_MIX_00264,51.13034013605442,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M35,3,Q141,51.478639455782314,2,NO,NO,,,,,NO_GRID,,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M35,4,Q142,51.85015873015873,2,NO,YES,HF013,51.87695827664399,,,NO_GRID,C,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M36,1,Q143,52.22167800453515,4,YES,YES,HF014,52.31174603174603,52.27354497354498,38.201058201053684,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,4,YES,YES,F_MIX_00270,52.244897959183675,52.25070294784581,-5.804988662134747,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,22.84202569916971,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M36,2,Q144,52.59319727891157,4,YES,YES,HF015,52.573556916099776,52.62979591836735,-56.23900226757428,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,4,YES,YES,F_MIX_00272,52.61641723356009,52.610612244897965,5.804988662127641,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,19.1836734693851,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M36,3,Q145,52.964716553287985,4,YES,YES,HF016,52.980589569161,52.98604686318972,-5.45729402872297,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00274,52.97632653061225,52.97052154195012,5.804988662127641,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,15.525321239600487,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M36,4,Q146,53.336235827664396,4,YES,YES,HF017,53.347755102040814,53.34229780801209,5.45729402872297,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00275,53.324625850340134,53.330430839002275,-5.804988662141852,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,11.866969009815875,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,1,Q147,53.707755102040814,3,YES,YES,HF018,53.71591836734694,53.71591836734694,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00277,53.69614512471655,53.69469387755102,1.4512471655336867,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,21.22448979591951,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,2,Q148,54.07927437641723,3,YES,NO,,,54.07177626606198,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,4,YES,YES,F_MIX_00279,54.05605442176871,54.05944066515495,-3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,12.335600907029232,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,3,Q149,54.427573696145124,3,YES,YES,HF019,54.41233560090703,54.42763416477702,-15.29856386999029,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00281,54.427573696145124,54.42418745275888,3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,3.4467120181389532,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M37,4,Q150,54.79909297052154,3,YES,YES,HF020,54.78349206349206,54.78349206349206,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00283,54.78748299319728,54.78893424036281,-1.4512471655336867,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-5.442176870751325,YES,Original observations retained; grids are mathematical estimates; no GT validation.
