quarter_id,quarter_label,reference_time,metric_beat,measure_id,status
0,Q1,0.06965986394557823,,,PRE_ANCHOR_UNNUMBERED
1,Q2,0.44117913832199546,,,PRE_ANCHOR_UNNUMBERED
2,Q3,0.8126984126984127,1,M1,VALIDATED_PI_ORIGIN_PROPAGATED
3,Q4,1.18421768707483,2,M1,VALIDATED_PI_ORIGIN_PROPAGATED
4,Q5,1.555736961451247,3,M1,VALIDATED_PI_ORIGIN_PROPAGATED
5,Q6,1.9272562358276644,4,M1,VALIDATED_PI_ORIGIN_PROPAGATED
6,Q7,2.3219954648526078,1,M2,VALIDATED_PI_ORIGIN_PROPAGATED
7,Q8,2.670294784580499,2,M2,VALIDATED_PI_ORIGIN_PROPAGATED
8,Q9,3.0418140589569163,3,M2,VALIDATED_PI_ORIGIN_PROPAGATED
9,Q10,3.4133333333333336,4,M2,VALIDATED_PI_ORIGIN_PROPAGATED
10,Q11,3.7848526077097504,1,M3,VALIDATED_PI_ORIGIN_PROPAGATED
11,Q12,4.156371882086168,2,M3,VALIDATED_PI_ORIGIN_PROPAGATED
12,Q13,4.504671201814059,3,M3,VALIDATED_PI_ORIGIN_PROPAGATED
13,Q14,4.876190476190477,4,M3,VALIDATED_PI_ORIGIN_PROPAGATED
14,Q15,5.224489795918367,1,M4,VALIDATED_PI_ORIGIN_PROPAGATED
15,Q16,5.596009070294785,2,M4,VALIDATED_PI_ORIGIN_PROPAGATED
16,Q17,5.944308390022676,3,M4,VALIDATED_PI_ORIGIN_PROPAGATED
17,Q18,6.315827664399093,4,M4,VALIDATED_PI_ORIGIN_PROPAGATED
18,Q19,6.664126984126984,1,M5,VALIDATED_PI_ORIGIN_PROPAGATED
19,Q20,7.012426303854875,2,M5,VALIDATED_PI_ORIGIN_PROPAGATED
20,Q21,7.383945578231293,3,M5,VALIDATED_PI_ORIGIN_PROPAGATED
21,Q22,7.732244897959184,4,M5,VALIDATED_PI_ORIGIN_PROPAGATED
22,Q23,8.103764172335602,1,M6,VALIDATED_PI_ORIGIN_PROPAGATED
23,Q24,8.452063492063493,2,M6,VALIDATED_PI_ORIGIN_PROPAGATED
24,Q25,8.823582766439909,3,M6,VALIDATED_PI_ORIGIN_PROPAGATED
25,Q26,9.1718820861678,4,M6,VALIDATED_PI_ORIGIN_PROPAGATED
26,Q27,9.543401360544218,1,M7,VALIDATED_PI_ORIGIN_PROPAGATED
27,Q28,9.914920634920636,2,M7,VALIDATED_PI_ORIGIN_PROPAGATED
28,Q29,10.286439909297052,3,M7,VALIDATED_PI_ORIGIN_PROPAGATED
29,Q30,10.634739229024943,4,M7,VALIDATED_PI_ORIGIN_PROPAGATED
30,Q31,11.00625850340136,1,M8,VALIDATED_PI_ORIGIN_PROPAGATED
31,Q32,11.377777777777778,2,M8,VALIDATED_PI_ORIGIN_PROPAGATED
32,Q33,11.749297052154194,3,M8,VALIDATED_PI_ORIGIN_PROPAGATED
33,Q34,12.120816326530612,4,M8,VALIDATED_PI_ORIGIN_PROPAGATED
34,Q35,12.49233560090703,1,M9,VALIDATED_PI_ORIGIN_PROPAGATED
35,Q36,12.863854875283447,2,M9,VALIDATED_PI_ORIGIN_PROPAGATED
36,Q37,13.235374149659863,3,M9,VALIDATED_PI_ORIGIN_PROPAGATED
37,Q38,13.606893424036281,4,M9,VALIDATED_PI_ORIGIN_PROPAGATED
38,Q39,13.955192743764172,1,M10,VALIDATED_PI_ORIGIN_PROPAGATED
39,Q40,14.32671201814059,2,M10,VALIDATED_PI_ORIGIN_PROPAGATED
40,Q41,14.698231292517006,3,M10,VALIDATED_PI_ORIGIN_PROPAGATED
41,Q42,15.069750566893424,4,M10,VALIDATED_PI_ORIGIN_PROPAGATED
42,Q43,15.441269841269841,1,M11,VALIDATED_PI_ORIGIN_PROPAGATED
43,Q44,15.789569160997733,2,M11,VALIDATED_PI_ORIGIN_PROPAGATED
44,Q45,16.16108843537415,3,M11,VALIDATED_PI_ORIGIN_PROPAGATED
45,Q46,16.532607709750568,4,M11,VALIDATED_PI_ORIGIN_PROPAGATED
46,Q47,16.904126984126986,1,M12,VALIDATED_PI_ORIGIN_PROPAGATED
47,Q48,17.2756462585034,2,M12,VALIDATED_PI_ORIGIN_PROPAGATED
48,Q49,17.647165532879818,3,M12,VALIDATED_PI_ORIGIN_PROPAGATED
49,Q50,18.018684807256236,4,M12,VALIDATED_PI_ORIGIN_PROPAGATED
50,Q51,18.390204081632653,1,M13,VALIDATED_PI_ORIGIN_PROPAGATED
51,Q52,18.76172335600907,2,M13,VALIDATED_PI_ORIGIN_PROPAGATED
52,Q53,19.11002267573696,3,M13,VALIDATED_PI_ORIGIN_PROPAGATED
53,Q54,19.481541950113378,4,M13,VALIDATED_PI_ORIGIN_PROPAGATED
54,Q55,19.82984126984127,1,M14,VALIDATED_PI_ORIGIN_PROPAGATED
55,Q56,20.201360544217685,2,M14,VALIDATED_PI_ORIGIN_PROPAGATED
56,Q57,20.54965986394558,3,M14,VALIDATED_PI_ORIGIN_PROPAGATED
57,Q58,20.897959183673468,4,M14,VALIDATED_PI_ORIGIN_PROPAGATED
58,Q59,21.24625850340136,1,M15,VALIDATED_PI_ORIGIN_PROPAGATED
59,Q60,21.61777777777778,2,M15,VALIDATED_PI_ORIGIN_PROPAGATED
60,Q61,21.966077097505668,3,M15,VALIDATED_PI_ORIGIN_PROPAGATED
61,Q62,22.337596371882086,4,M15,VALIDATED_PI_ORIGIN_PROPAGATED
62,Q63,22.68589569160998,1,M16,VALIDATED_PI_ORIGIN_PROPAGATED
63,Q64,23.057414965986396,2,M16,VALIDATED_PI_ORIGIN_PROPAGATED
64,Q65,23.42893424036281,3,M16,VALIDATED_PI_ORIGIN_PROPAGATED
65,Q66,23.800453514739228,4,M16,VALIDATED_PI_ORIGIN_PROPAGATED
66,Q67,24.171972789115646,1,M17,VALIDATED_PI_ORIGIN_PROPAGATED
67,Q68,24.543492063492064,2,M17,VALIDATED_PI_ORIGIN_PROPAGATED
68,Q69,24.91501133786848,3,M17,VALIDATED_PI_ORIGIN_PROPAGATED
69,Q70,25.2865306122449,4,M17,VALIDATED_PI_ORIGIN_PROPAGATED
70,Q71,25.658049886621317,1,M18,VALIDATED_PI_ORIGIN_PROPAGATED
71,Q72,26.02956916099773,2,M18,VALIDATED_PI_ORIGIN_PROPAGATED
72,Q73,26.40108843537415,3,M18,VALIDATED_PI_ORIGIN_PROPAGATED
73,Q74,26.772607709750567,4,M18,VALIDATED_PI_ORIGIN_PROPAGATED
74,Q75,27.144126984126984,1,M19,VALIDATED_PI_ORIGIN_PROPAGATED
75,Q76,27.515646258503402,2,M19,VALIDATED_PI_ORIGIN_PROPAGATED
76,Q77,27.88716553287982,3,M19,VALIDATED_PI_ORIGIN_PROPAGATED
77,Q78,28.23546485260771,4,M19,VALIDATED_PI_ORIGIN_PROPAGATED
78,Q79,28.606984126984127,1,M20,VALIDATED_PI_ORIGIN_PROPAGATED
79,Q80,28.955283446712016,2,M20,VALIDATED_PI_ORIGIN_PROPAGATED
80,Q81,29.326802721088434,3,M20,VALIDATED_PI_ORIGIN_PROPAGATED
81,Q82,29.675102040816327,4,M20,VALIDATED_PI_ORIGIN_PROPAGATED
82,Q83,30.046621315192745,1,M21,VALIDATED_PI_ORIGIN_PROPAGATED
83,Q84,30.394920634920634,2,M21,VALIDATED_PI_ORIGIN_PROPAGATED
84,Q85,30.743219954648527,3,M21,VALIDATED_PI_ORIGIN_PROPAGATED
85,Q86,31.114739229024945,4,M21,VALIDATED_PI_ORIGIN_PROPAGATED
86,Q87,31.463038548752834,1,M22,VALIDATED_PI_ORIGIN_PROPAGATED
87,Q88,31.834557823129252,2,M22,VALIDATED_PI_ORIGIN_PROPAGATED
88,Q89,32.182857142857145,3,M22,VALIDATED_PI_ORIGIN_PROPAGATED
89,Q90,32.53115646258503,4,M22,VALIDATED_PI_ORIGIN_PROPAGATED
90,Q91,32.90267573696145,1,M23,VALIDATED_PI_ORIGIN_PROPAGATED
91,Q92,33.274195011337866,2,M23,VALIDATED_PI_ORIGIN_PROPAGATED
92,Q93,33.62249433106576,3,M23,VALIDATED_PI_ORIGIN_PROPAGATED
93,Q94,33.99401360544218,4,M23,VALIDATED_PI_ORIGIN_PROPAGATED
94,Q95,34.365532879818595,1,M24,VALIDATED_PI_ORIGIN_PROPAGATED
95,Q96,34.71383219954649,2,M24,VALIDATED_PI_ORIGIN_PROPAGATED
96,Q97,35.085351473922906,3,M24,VALIDATED_PI_ORIGIN_PROPAGATED
97,Q98,35.456870748299316,4,M24,VALIDATED_PI_ORIGIN_PROPAGATED
98,Q99,35.828390022675734,1,M25,VALIDATED_PI_ORIGIN_PROPAGATED
99,Q100,36.19990929705215,2,M25,VALIDATED_PI_ORIGIN_PROPAGATED
100,Q101,36.57142857142857,3,M25,VALIDATED_PI_ORIGIN_PROPAGATED
101,Q102,36.94294784580499,4,M25,VALIDATED_PI_ORIGIN_PROPAGATED
102,Q103,37.314467120181405,1,M26,VALIDATED_PI_ORIGIN_PROPAGATED
103,Q104,37.68598639455782,2,M26,VALIDATED_PI_ORIGIN_PROPAGATED
104,Q105,38.05750566893424,3,M26,VALIDATED_PI_ORIGIN_PROPAGATED
105,Q106,38.42902494331066,4,M26,VALIDATED_PI_ORIGIN_PROPAGATED
106,Q107,38.77732426303855,1,M27,VALIDATED_PI_ORIGIN_PROPAGATED
107,Q108,39.14884353741497,2,M27,VALIDATED_PI_ORIGIN_PROPAGATED
108,Q109,39.52036281179139,3,M27,VALIDATED_PI_ORIGIN_PROPAGATED
109,Q110,39.8918820861678,4,M27,VALIDATED_PI_ORIGIN_PROPAGATED
110,Q111,40.263401360544215,1,M28,VALIDATED_PI_ORIGIN_PROPAGATED
111,Q112,40.61170068027211,2,M28,VALIDATED_PI_ORIGIN_PROPAGATED
112,Q113,40.983219954648526,3,M28,VALIDATED_PI_ORIGIN_PROPAGATED
113,Q114,41.35473922902494,4,M28,VALIDATED_PI_ORIGIN_PROPAGATED
114,Q115,41.72625850340136,1,M29,VALIDATED_PI_ORIGIN_PROPAGATED
115,Q116,42.09777777777778,2,M29,VALIDATED_PI_ORIGIN_PROPAGATED
116,Q117,42.4692970521542,3,M29,VALIDATED_PI_ORIGIN_PROPAGATED
117,Q118,42.81759637188209,4,M29,VALIDATED_PI_ORIGIN_PROPAGATED
118,Q119,43.1891156462585,1,M30,VALIDATED_PI_ORIGIN_PROPAGATED
119,Q120,43.56063492063492,2,M30,VALIDATED_PI_ORIGIN_PROPAGATED
120,Q121,43.932154195011336,3,M30,VALIDATED_PI_ORIGIN_PROPAGATED
121,Q122,44.30367346938775,4,M30,VALIDATED_PI_ORIGIN_PROPAGATED
122,Q123,44.698412698412696,1,M31,VALIDATED_PI_ORIGIN_PROPAGATED
123,Q124,45.069931972789114,2,M31,VALIDATED_PI_ORIGIN_PROPAGATED
124,Q125,45.44145124716553,3,M31,VALIDATED_PI_ORIGIN_PROPAGATED
125,Q126,45.836190476190474,4,M31,VALIDATED_PI_ORIGIN_PROPAGATED
126,Q127,46.23092970521542,1,M32,VALIDATED_PI_ORIGIN_PROPAGATED
127,Q128,46.625668934240366,2,M32,VALIDATED_PI_ORIGIN_PROPAGATED
128,Q129,47.02040816326531,3,M32,VALIDATED_PI_ORIGIN_PROPAGATED
