quarter_id,quarter_timestamp,stored_BPM,LEFT_BOUNDARY,RIGHT_BOUNDARY,LEFT_CLOSED,RIGHT_CLOSED,native_candidate_N,context_N,quarter_state
0,0.06965986394557823,161.4990234375,0,0.255419501133786845,True,True,0,0,EMPTY
1,0.44117913832199546,161.4990234375,0.255419501133786845,0.62693877551020408,False,True,0,0,EMPTY
2,0.8126984126984127,161.49902343749997,0.62693877551020408,0.99845804988662135,False,True,3,2,SELECTED
3,1.18421768707483,161.49902343750006,0.99845804988662135,1.3699773242630385,False,True,1,0,SELECTED
4,1.555736961451247,161.49902343749997,1.3699773242630385,1.7414965986394557,False,True,2,1,SELECTED
5,1.9272562358276644,151.9990808823529,1.7414965986394557,2.1246258503401361,False,True,3,2,SELECTED
6,2.3219954648526078,172.26562499999997,2.1246258503401361,2.4961451247165534,False,True,2,1,SELECTED
7,2.670294784580499,161.49902343749997,2.4961451247165534,2.85605442176870765,False,True,2,1,SELECTED
8,3.0418140589569163,161.49902343749997,2.85605442176870765,3.22757369614512495,False,True,3,2,SELECTED
9,3.4133333333333336,161.49902343750017,3.22757369614512495,3.5990929705215420,False,True,2,1,SELECTED
10,3.7848526077097504,161.49902343749997,3.5990929705215420,3.9706122448979592,False,True,2,1,SELECTED
11,4.156371882086168,172.26562499999997,3.9706122448979592,4.3305215419501135,False,True,2,1,SELECTED
12,4.504671201814059,161.49902343749977,4.3305215419501135,4.690430839002268,False,True,3,2,SELECTED
13,4.876190476190477,172.26562500000043,4.690430839002268,5.050340136054422,False,True,1,0,SELECTED
14,5.224489795918367,161.49902343749977,5.050340136054422,5.410249433106576,False,True,2,1,SELECTED
15,5.596009070294785,172.26562499999997,5.410249433106576,5.7701587301587305,False,True,2,1,SELECTED
16,5.944308390022676,161.49902343750017,5.7701587301587305,6.1300680272108845,False,True,2,1,SELECTED
17,6.315827664399093,172.26562499999997,6.1300680272108845,6.4899773242630385,False,True,3,2,SELECTED
18,6.664126984126984,172.26562499999997,6.4899773242630385,6.8382766439909295,False,True,2,1,SELECTED
19,7.012426303854875,161.49902343749977,6.8382766439909295,7.198185941043084,False,True,2,1,SELECTED
20,7.383945578231293,172.26562499999997,7.198185941043084,7.5580952380952385,False,True,1,0,SELECTED
21,7.732244897959184,161.49902343749977,7.5580952380952385,7.918004535147393,False,True,1,0,SELECTED
22,8.103764172335602,172.26562499999997,7.918004535147393,8.2779138321995475,False,True,2,1,SELECTED
23,8.452063492063493,161.49902343750054,8.2779138321995475,8.637823129251701,False,True,2,1,SELECTED
24,8.823582766439909,172.26562499999997,8.637823129251701,8.9977324263038545,False,True,2,1,SELECTED
25,9.1718820861678,161.49902343749977,8.9977324263038545,9.357641723356009,False,True,1,0,SELECTED
26,9.543401360544218,161.49902343749977,9.357641723356009,9.729160997732427,False,True,2,1,SELECTED
27,9.914920634920636,161.49902343750054,9.729160997732427,10.100680272108844,False,True,2,1,SELECTED
28,10.286439909297052,172.26562499999997,10.100680272108844,10.4605895691609975,False,True,2,1,SELECTED
29,10.634739229024943,161.49902343749977,10.4605895691609975,10.8204988662131515,False,True,2,1,SELECTED
30,11.00625850340136,161.49902343749977,10.8204988662131515,11.192018140589569,False,True,2,1,SELECTED
31,11.377777777777778,161.49902343750054,11.192018140589569,11.563537414965986,False,True,3,2,SELECTED
32,11.749297052154194,161.49902343749977,11.563537414965986,11.935056689342403,False,True,4,3,SELECTED
33,12.120816326530612,161.49902343749977,11.935056689342403,12.306575963718821,False,True,2,1,SELECTED
34,12.49233560090703,161.49902343749977,12.306575963718821,12.6780952380952385,False,True,1,0,SELECTED
35,12.863854875283447,161.49902343750054,12.6780952380952385,13.049614512471655,False,True,1,0,SELECTED
36,13.235374149659863,161.49902343749977,13.049614512471655,13.421133786848072,False,True,3,2,SELECTED
37,13.606893424036281,172.26562499999997,13.421133786848072,13.7810430839002265,False,True,2,1,SELECTED
38,13.955192743764172,161.49902343749977,13.7810430839002265,14.140952380952381,False,True,2,1,SELECTED
39,14.32671201814059,161.49902343750054,14.140952380952381,14.512471655328798,False,True,1,0,SELECTED
40,14.698231292517006,161.49902343749977,14.512471655328798,14.883990929705215,False,True,3,2,SELECTED
41,15.069750566893424,161.49902343749977,14.883990929705215,15.2555102040816325,False,True,3,2,SELECTED
42,15.441269841269841,172.26562499999997,15.2555102040816325,15.615419501133787,False,True,1,0,SELECTED
43,15.789569160997733,161.49902343749977,15.615419501133787,15.9753287981859415,False,True,2,1,SELECTED
44,16.16108843537415,161.49902343749977,15.9753287981859415,16.346848072562359,False,True,2,1,SELECTED
45,16.532607709750568,161.49902343749977,16.346848072562359,16.718367346938777,False,True,1,0,SELECTED
46,16.904126984126986,161.49902343750134,16.718367346938777,17.089886621315193,False,True,2,1,SELECTED
47,17.2756462585034,161.49902343749977,17.089886621315193,17.461405895691609,False,True,2,1,SELECTED
48,17.647165532879818,161.49902343749977,17.461405895691609,17.832925170068027,False,True,3,2,SELECTED
