quarter_id,quarter_timestamp,stored_BPM,QUARTER_STATE,selected_event_id,selected_timestamp,selected_source_state,QUARTER_NEAREST_ONSET_OFFSET_MS,ABS_DISTANCE_TO_QUARTER_MS,NEAREST_ONSET_TIE,tied_event_ids,native_candidate_N,context_N,context_source_composition,original_quarter_id,original_quarter_timestamp,original_offset_ms,source_provenance,source_provenance_sha256
0,0.06965986394557823,161.4990234375,EMPTY,NONE,,,,,False,[],0,0,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 0}",,,,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
1,0.44117913832199546,161.4990234375,EMPTY,NONE,,,,,False,[],0,0,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 0}",,,,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
2,0.8126984126984127,161.49902343749997,SELECTED,F_MIX_00001,0.8359183673469388,DRUM_SUPPORTED,23.2199546485261000,23.2199546485261000,False,[],3,2,"{""BASS_AND_DRUM_SUPPORTED"": 1, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 1}",1,0.6823742634453166,153.5441039016222000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
3,1.18421768707483,161.49902343750006,SELECTED,F_MIX_00003,1.230657596371882,DRUM_SUPPORTED,46.439909297052000,46.439909297052000,False,[],1,0,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 0}",2,1.0607553362280218,169.9022601438602000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
4,1.555736961451247,161.49902343749997,SELECTED,F_MIX_00005,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,23.2199546485262000,23.2199546485262000,False,[],2,1,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 1}",3,1.4372539161113105,141.7029999884627000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
5,1.9272562358276644,151.9990808823529,SELECTED,F_MIX_00008,1.9736961451247166,DRUM_SUPPORTED,46.4399092970522000,46.4399092970522000,False,[],3,2,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 2}",4,1.8118793687314982,161.8167763932184000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
6,2.3219954648526078,172.26562499999997,SELECTED,F_MIX_00010,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,0E-16,0E-16,False,[],2,1,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 1, ""UNKNOWN"": 0}",5,2.1864770623709613,135.5184024816465000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
7,2.670294784580499,161.49902343749997,SELECTED,F_MIX_00012,2.705124716553288,DRUM_SUPPORTED,34.829931972789000,34.829931972789000,False,[],2,1,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 1}",6,2.561043912698508,144.080803854780000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
8,3.0418140589569163,161.49902343749997,SELECTED,F_MIX_00015,3.076643990929705,DRUM_SUPPORTED,34.8299319727887000,34.8299319727887000,False,[],3,2,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 2}",7,2.935576492679481,141.067498250224000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
9,3.4133333333333336,161.49902343750017,SELECTED,F_MIX_00017,3.436553287981859,DRUM_SUPPORTED,23.2199546485254000,23.2199546485254000,False,[],2,1,"{""BASS_AND_DRUM_SUPPORTED"": 0, ""BASS_SUPPORTED"": 0, ""CONFLICTING_EVIDENCE"": 0, ""DRUM_SUPPORTED"": 0, ""UNKNOWN"": 1}",8,3.310111306918859,126.441981063000000,/Users/StarTrack/Development/JazzGrooveAnalyzer/docs/scientific/rfc/JGA_WHOLE_TRACK_GROOVE_FROZEN_PIPELINE_001_20260921/WHOLE_TRACK_SOURCE_STATES.csv,7d5ced889b068c5328afd81b1ff02d04b682639aa4f47410e45e21f689bf2547
