quarter_id,quarter_timestamp,full_mix_dual_id,full_mix_no_distinct_alternative,Bass_candidate_N,Drums_candidate_N,category,selected_pair_resolved,selected_Drum_minus_Bass_ms
4,1.555736961451247,F_MIX_00005,True,2,0,A_BASS_ONLY,False,
6,2.3219954648526078,F_MIX_00010,False,1,2,F_MULTIPLE_CANDIDATES,True,46.439909297052154
12,4.504671201814059,F_MIX_00023,False,1,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
15,5.596009070294785,F_MIX_00029,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
16,5.944308390022676,F_MIX_00031,False,1,1,C_DISTINGUISHABLE,True,-116.09977324263039
18,6.664126984126984,F_MIX_00036,False,1,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
20,7.383945578231293,F_MIX_00039,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
23,8.452063492063493,F_MIX_00044,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
24,8.823582766439909,F_MIX_00046,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
25,9.1718820861678,F_MIX_00047,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
33,12.120816326530612,F_MIX_00066,True,2,2,F_MULTIPLE_CANDIDATES,True,-58.049886621315196
34,12.49233560090703,F_MIX_00067,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
38,13.955192743764172,F_MIX_00075,True,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
41,15.069750566893424,F_MIX_00081,True,2,1,F_MULTIPLE_CANDIDATES,True,23.219954648526077
42,15.441269841269841,F_MIX_00083,True,1,2,F_MULTIPLE_CANDIDATES,True,34.82993197278911
44,16.16108843537415,F_MIX_00087,True,1,1,C_DISTINGUISHABLE,True,-162.53968253968253
46,16.904126984126986,F_MIX_00090,True,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
48,17.647165532879818,F_MIX_00094,False,0,2,B_DRUM_ONLY,False,
52,19.11002267573696,F_MIX_00104,True,1,1,C_DISTINGUISHABLE,True,-104.48979591836735
55,20.201360544217685,F_MIX_00110,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
63,23.057414965986396,F_MIX_00125,True,1,2,F_MULTIPLE_CANDIDATES,True,-92.87981859410431
65,23.800453514739228,F_MIX_00129,False,1,3,F_MULTIPLE_CANDIDATES,False,0.0
