section,quantity,N,negative,positive,exact,median_ms,mean_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
WHOLE,bass_TO_PLP,672,149,476,47,23.21995464852,15.03077421444769,34.8299319728,23.21995464852,40.979290712411654,23.21995464855,-162.53968253969,174.14965986396
WHOLE,bass_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,548,118,141,289,0.0,0.48728007017892316,11.609977324263038,0.0,7.974009355548797,0.0,-11.609977324263038,11.609977324263038
WHOLE,bass_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,148,35,34,79,0.0,-0.07844579273150704,0.0,0.0,7.9538241414503625,0.0,-11.609977324263038,11.609977324263038
WHOLE,FULLMIX_bass_ALL_SUPPORT_SLOTS,203,47,129,27,11.609977324262,10.294561174222965,34.829931972783,23.219954648512,32.20596041354867,23.21995464852,-116.09977324265,69.659863945579
WHOLE,FULLMIX_bass_NONSHARED,23,15,8,0,-34.82993197279,-22.715173025725495,116.09977324263399,46.439909297053,60.88104700079792,58.04988662133,-104.48979591836,69.659863945579
WHOLE,drums_TO_PLP,868,272,483,113,11.60997732426,2.9158698809790504,34.82993197283,23.21995464852,36.6954384404543,23.21995464853,-116.099773242631,69.6598639456
WHOLE,drums_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,1071,50,289,732,0.0,2.590835275909306,11.609977324263038,0.0,5.9988576507618365,0.0,-11.609977324263038,11.609977324263038
WHOLE,drums_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,923,34,254,635,0.0,2.767275201882847,11.609977324263038,0.0,5.868387740067081,0.0,-11.609977324263038,11.609977324263038
WHOLE,FULLMIX_drums_ALL_SUPPORT_SLOTS,834,224,528,82,11.60997732427,8.923255953061084,46.43990929704,23.21995464852,36.49811533213304,23.21995464855,-116.09977324265,81.26984126987
WHOLE,FULLMIX_drums_NONSHARED,654,192,407,55,11.60997732427,7.38493970473088,46.43990929706075,23.21995464853,39.18712451623615,34.82993197278,-104.48979591838,81.26984126987
WHOLE,STEM_RESOLVED_DRUM_MINUS_BASS,340,234,106,0,-23.219954648526077,-23.424836601307188,104.48979591836735,58.04988662131519,73.36264766278084,58.049886621315196,-255.41950113378687,185.75963718820861
WHOLE,FULLMIX_DISTINCT_DRUM_MINUS_BASS,21,7,14,0,46.439909297,17.138537954863498,185.759637188205,58.049886621368,97.52512583888554,92.879818594104,-139.31972789116,127.70975056694
M1,bass_TO_PLP,87,21,64,2,34.829931972787,17.481689994005468,46.439909297052,11.609977324272997,45.61837710358231,34.829931972794,-127.709750566895,127.709750566896
M1,bass_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,84,19,23,42,0.0,0.5528560630601449,11.609977324263038,5.804988662131519,8.240051687398601,5.804988662131519,-11.609977324263038,11.609977324263038
M1,bass_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,36,6,11,19,0.0,1.6124968505920885,11.609977324263038,0.0,7.924377379118969,0.0,-11.609977324263038,11.609977324263038
M1,FULLMIX_bass_ALL_SUPPORT_SLOTS,44,10,29,5,23.219954648526098,12.40156668728102,46.4399092970505,23.219954648526098,41.2491728995284,34.8299319727885,-92.8798185941043,69.659863945579
M1,FULLMIX_bass_NONSHARED,8,6,2,0,-69.659863945578,-40.63492063492079,34.829931972791755,5.804988662133503,65.08691569561725,69.65986394557851,-92.8798185941043,69.659863945579
M1,drums_TO_PLP,117,36,73,8,23.219954648524,7.839215458263025,58.04988662131299,23.219954648524,37.70790680575996,34.829931972784,-116.09977324263,69.659863945584
M1,drums_FM_MINUS_STEM_ALL_UNIQUE_MATCHES,156,11,45,100,0.0,2.530379673236816,11.609977324263038,0.0,6.500366239290462,0.0,-11.609977324263038,11.609977324263038
M1,drums_FM_MINUS_STEM_SOURCE_SUPPORTED_UNIQUE_MATCHES,132,7,40,85,0.0,2.9024943310657596,11.609977324263038,0.0,6.314392545689473,0.0,-11.609977324263038,11.609977324263038
M1,FULLMIX_drums_ALL_SUPPORT_SLOTS,120,22,90,8,23.219954648526752,17.7052154195013,26.12244897960025,11.609977324268748,35.03946829550394,34.829931972788,-81.26984126985,81.269841269842
