quarter_id,quarter_timestamp,Bass_id,Drums_id,BASS_offset_ms,DRUMS_offset_ms,both,resolved_over_one_hop,raw_Drum_minus_Bass_ms,resolved_Drum_minus_Bass_ms,interpretation
0,0.06965986394557823,,,,,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
1,0.44117913832199546,,,,,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
2,0.8126984126984127,BASS_00001,DRUMS_00001,69.6598639455782000,23.2199546485261000,True,True,-46.439909297052154,-46.439909297052154,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
3,1.18421768707483,,DRUMS_00002,,46.439909297052000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
4,1.555736961451247,BASS_00003,,23.2199546485262000,,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
5,1.9272562358276644,,DRUMS_00003,,46.4399092970522000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
6,2.3219954648526078,BASS_00004,DRUMS_00005,-11.6099773242633000,34.8299319727889000,True,True,46.439909297052154,46.439909297052154,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
7,2.670294784580499,,DRUMS_00006,,23.219954648526000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
8,3.0418140589569163,BASS_00006,DRUMS_00008,23.2199546485261000,23.2199546485261000,True,False,0.0,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
9,3.4133333333333336,BASS_00007,DRUMS_00009,23.2199546485254000,23.2199546485254000,True,False,0.0,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
10,3.7848526077097504,,DRUMS_00011,,11.6099773242633000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
11,4.156371882086168,,DRUMS_00012,,23.219954648526000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
12,4.504671201814059,BASS_00009,DRUMS_00014,11.609977324263000,23.219954648526000,True,False,11.609977324263038,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
13,4.876190476190477,,DRUMS_00015,,11.609977324262000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
14,5.224489795918367,BASS_00011,DRUMS_00017,34.829931972790000,34.829931972790000,True,False,0.0,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
15,5.596009070294785,BASS_00012,DRUMS_00019,34.829931972789000,34.829931972789000,True,False,0.0,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
16,5.944308390022676,BASS_00013,DRUMS_00020,46.439909297052000,-69.659863945579000,True,True,-116.09977324263039,-116.09977324263039,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
17,6.315827664399093,BASS_00014,DRUMS_00022,11.609977324263000,-23.219954648526000,True,True,-34.82993197278911,-34.82993197278911,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
18,6.664126984126984,BASS_00015,DRUMS_00025,11.609977324263000,23.2199546485265000,True,False,11.609977324263038,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
19,7.012426303854875,,DRUMS_00026,,34.829931972789000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
20,7.383945578231293,BASS_00016,DRUMS_00027,46.439909297052000,23.2199546485255000,True,True,-23.219954648526077,-23.219954648526077,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
21,7.732244897959184,,DRUMS_00028,,58.049886621315000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
22,8.103764172335602,BASS_00018,DRUMS_00029,46.439909297051000,34.829931972788000,True,False,-11.609977324263038,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
23,8.452063492063493,BASS_00019,DRUMS_00031,58.049886621314000,58.049886621314000,True,False,0.0,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
24,8.823582766439909,BASS_00020,DRUMS_00032,58.049886621315000,34.829931972789000,True,True,-23.219954648526077,-23.219954648526077,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
25,9.1718820861678,BASS_00021,DRUMS_00033,58.049886621316000,34.829931972789000,True,True,-23.219954648526077,-23.219954648526077,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
26,9.543401360544218,BASS_00022,DRUMS_00034,46.439909297052000,-46.439909297053000,True,True,-92.87981859410431,-92.87981859410431,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
27,9.914920634920636,,DRUMS_00035,,-34.829931972789000,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
28,10.286439909297052,BASS_00024,DRUMS_00037,34.829931972788000,-69.659863945578000,True,True,-104.48979591836735,-104.48979591836735,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
29,10.634739229024943,BASS_00025,DRUMS_00039,58.049886621315000,-11.609977324263000,True,True,-69.65986394557822,-69.65986394557822,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
30,11.00625850340136,BASS_00027,,46.439909297054000,,False,False,,,SEPARATOR_OBSERVABLE_LANDMARKS_NOT_PHYSICAL_GT
