stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_00000,BASS_00000,BASS_AND_DRUM_SUPPORTED,31744,32256,-11.609977324263038
bass,F_MIX_00002,BASS_00001,UNKNOWN,38912,38912,0.0
bass,F_MIX_00004,BASS_00002,UNKNOWN,65024,65024,0.0
bass,F_MIX_00005,BASS_00003,BASS_AND_DRUM_SUPPORTED,69632,69632,0.0
bass,F_MIX_00010,BASS_00004,BASS_AND_DRUM_SUPPORTED,102400,101888,11.609977324263038
bass,F_MIX_00014,BASS_00005,UNKNOWN,132096,132608,-11.609977324263038
bass,F_MIX_00015,BASS_00006,DRUM_SUPPORTED,135680,135168,11.609977324263038
bass,F_MIX_00017,BASS_00007,DRUM_SUPPORTED,151552,151552,0.0
bass,F_MIX_00023,BASS_00009,BASS_AND_DRUM_SUPPORTED,199168,199168,0.0
bass,F_MIX_00026,BASS_00010,BASS_SUPPORTED,227328,227328,0.0
bass,F_MIX_00027,BASS_00011,DRUM_SUPPORTED,231936,231936,0.0
bass,F_MIX_00029,BASS_00012,BASS_AND_DRUM_SUPPORTED,248320,248320,0.0
bass,F_MIX_00034,BASS_00014,DRUM_SUPPORTED,279552,279040,11.609977324263038
bass,F_MIX_00036,BASS_00015,BASS_AND_DRUM_SUPPORTED,294912,294400,11.609977324263038
bass,F_MIX_00039,BASS_00016,BASS_AND_DRUM_SUPPORTED,327680,327680,0.0
bass,F_MIX_00041,BASS_00017,BASS_SUPPORTED,354304,354304,0.0
bass,F_MIX_00042,BASS_00018,DRUM_SUPPORTED,358912,359424,-11.609977324263038
bass,F_MIX_00044,BASS_00019,BASS_AND_DRUM_SUPPORTED,375296,375296,0.0
bass,F_MIX_00046,BASS_00020,BASS_AND_DRUM_SUPPORTED,391168,391680,-11.609977324263038
bass,F_MIX_00047,BASS_00021,BASS_AND_DRUM_SUPPORTED,406528,407040,-11.609977324263038
bass,F_MIX_00049,BASS_00022,BASS_AND_DRUM_SUPPORTED,423424,422912,11.609977324263038
bass,F_MIX_00052,BASS_00023,DRUM_SUPPORTED,450560,450560,0.0
bass,F_MIX_00056,BASS_00026,BASS_SUPPORTED,482304,481792,11.609977324263038
bass,F_MIX_00058,BASS_00028,DRUM_SUPPORTED,498688,498688,0.0
bass,F_MIX_00065,BASS_00029,UNKNOWN,532480,532992,-11.609977324263038
bass,F_MIX_00066,BASS_00030,BASS_AND_DRUM_SUPPORTED,535552,535040,11.609977324263038
