quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
2,BASS,F_MIX_00000,0.7198185941043084,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
2,DRUM,F_MIX_00001,0.8359183673469388,DRUM_SUPPORTED,PRIMARY,True
2,DRUM,F_MIX_00000,0.7198185941043084,BASS_AND_DRUM_SUPPORTED,CONTEXT,False
3,DRUM,F_MIX_00003,1.230657596371882,DRUM_SUPPORTED,PRIMARY,True
4,BASS,F_MIX_00005,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
4,DRUM,F_MIX_00005,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
5,DRUM,F_MIX_00008,1.9736961451247166,DRUM_SUPPORTED,PRIMARY,True
6,BASS,F_MIX_00010,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
6,DRUM,F_MIX_00010,2.3219954648526078,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
6,DRUM,F_MIX_00009,2.1942857142857144,DRUM_SUPPORTED,CONTEXT,False
7,DRUM,F_MIX_00012,2.705124716553288,DRUM_SUPPORTED,PRIMARY,True
8,DRUM,F_MIX_00015,3.076643990929705,DRUM_SUPPORTED,PRIMARY,True
9,DRUM,F_MIX_00017,3.436553287981859,DRUM_SUPPORTED,PRIMARY,True
10,DRUM,F_MIX_00019,3.7964625850340137,DRUM_SUPPORTED,PRIMARY,True
10,DRUM,F_MIX_00018,3.6919727891156464,DRUM_SUPPORTED,CONTEXT,False
11,DRUM,F_MIX_00021,4.191201814058957,DRUM_SUPPORTED,PRIMARY,True
12,BASS,F_MIX_00023,4.516281179138322,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
12,DRUM,F_MIX_00023,4.516281179138322,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
12,DRUM,F_MIX_00022,4.388571428571429,DRUM_SUPPORTED,CONTEXT,False
13,DRUM,F_MIX_00025,4.899410430839002,DRUM_SUPPORTED,PRIMARY,True
14,BASS,F_MIX_00026,5.154829931972789,BASS_SUPPORTED,CONTEXT,True
14,DRUM,F_MIX_00027,5.259319727891157,DRUM_SUPPORTED,PRIMARY,True
15,BASS,F_MIX_00029,5.630839002267574,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
15,DRUM,F_MIX_00029,5.630839002267574,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
15,DRUM,F_MIX_00028,5.526349206349207,DRUM_SUPPORTED,CONTEXT,False
16,BASS,F_MIX_00031,5.9675283446712015,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
16,DRUM,F_MIX_00031,5.9675283446712015,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
16,DRUM,F_MIX_00030,5.874648526077097,DRUM_SUPPORTED,CONTEXT,False
17,DRUM,F_MIX_00034,6.339047619047619,DRUM_SUPPORTED,PRIMARY,True
17,DRUM,F_MIX_00033,6.2345578231292516,DRUM_SUPPORTED,CONTEXT,False
17,DRUM,F_MIX_00032,6.199727891156463,DRUM_SUPPORTED,CONTEXT,False
18,BASS,F_MIX_00036,6.6873469387755105,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
18,DRUM,F_MIX_00036,6.6873469387755105,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
18,DRUM,F_MIX_00035,6.582857142857143,DRUM_SUPPORTED,CONTEXT,False
19,DRUM,F_MIX_00038,7.070476190476191,DRUM_SUPPORTED,CONTEXT,True
20,BASS,F_MIX_00039,7.430385487528345,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
20,DRUM,F_MIX_00039,7.430385487528345,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
21,DRUM,F_MIX_00040,7.790294784580499,DRUM_SUPPORTED,PRIMARY,True
22,BASS,F_MIX_00041,8.034104308390022,BASS_SUPPORTED,CONTEXT,True
22,DRUM,F_MIX_00042,8.13859410430839,DRUM_SUPPORTED,PRIMARY,True
23,BASS,F_MIX_00044,8.510113378684807,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
23,DRUM,F_MIX_00044,8.510113378684807,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
23,DRUM,F_MIX_00043,8.394013605442177,DRUM_SUPPORTED,CONTEXT,False
24,BASS,F_MIX_00046,8.870022675736962,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
24,DRUM,F_MIX_00046,8.870022675736962,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
25,BASS,F_MIX_00047,9.218321995464853,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
25,DRUM,F_MIX_00047,9.218321995464853,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
26,BASS,F_MIX_00049,9.601451247165533,BASS_AND_DRUM_SUPPORTED,CONTEXT,True
