start_s,end_s,pitch,note_ids,episode_id
47.79928843537415,48.00826802721088,39,"[""BP_0003""]",LOW001
48.019878004535144,48.10114784580499,43,"[""BP_0004""]",LOW002
48.10114784580499,48.61198684807256,31,"[""BP_0005""]",LOW003
48.61198684807256,48.77452653061224,32,"[""BP_0008""]",LOW004
48.77452653061224,48.797746485260774,44,"[""BP_0007""]",LOW005
48.97189614512472,49.20537959183673,33,"[""BP_0009""]",LOW006
49.35630929705216,49.54206893424036,34,"[""BP_0010""]",LOW007
49.65816870748299,49.669778684807255,47,"[""BP_0011""]",LOW008
49.669778684807255,49.92519818594104,35,"[""BP_0012""]",LOW009
50.052907936507935,50.34315736961451,36,"[""BP_0013""]",LOW010
50.35476734693877,51.18035963718821,28,"[""BP_0014""]",LOW011
51.18035963718821,51.38933922902494,29,"[""BP_0017""]",LOW012
51.56348888888889,51.586708843537416,45,"[""BP_0018""]",LOW013
51.586708843537416,51.95822811791383,33,"[""BP_0019""]",LOW014
51.95822811791383,52.16720770975057,38,"[""BP_0021""]",LOW015
52.16720770975057,52.38779727891156,39,"[""BP_0022""]",LOW016
52.573556916099776,52.71287664399093,36,"[""BP_0024""]",LOW017
52.71287664399093,52.724486621315194,48,"[""BP_0025""]",LOW018
52.724486621315194,52.95797006802721,36,"[""BP_0026""]",LOW019
52.95797006802721,53.317879365079364,43,"[""BP_0027"", ""BP_0028""]",LOW020
53.37592925170068,53.701008616780044,41,"[""BP_0029""]",LOW021
53.72422857142857,54.362777324263035,46,"[""BP_0030""]",LOW022
54.40921723356009,54.757516553287985,44,"[""BP_0031""]",LOW023
54.88522630385488,55.130319727891155,43,"[""BP_0032""]",LOW024
55.188369614512474,55.37412925170068,41,"[""BP_0033""]",LOW025
55.49022902494331,55.80369841269841,35,"[""BP_0034""]",LOW026
55.87335827664399,56.221657596371884,34,"[""BP_0035""]",LOW027
56.29131746031746,56.558346938775514,44,"[""BP_0037""]",LOW028
56.65122675736961,56.89503628117914,43,"[""BP_0038""]",LOW029
56.95437006802721,57.03563990929705,47,"[""BP_0039""]",LOW030
57.03563990929705,57.209789569160996,35,"[""BP_0040""]",LOW031
57.314279365079365,57.34910929705215,48,"[""BP_0041""]",LOW032
57.34910929705215,57.56969886621315,36,"[""BP_0042""]",LOW033
57.56969886621315,58.12697777777778,28,"[""BP_0044"", ""BP_0046""]",LOW034
58.12697777777778,58.3707873015873,29,"[""BP_0048""]",LOW035
58.44044716553288,58.75391655328798,33,"[""BP_0049""]",LOW036
58.846796371882085,58.88162630385487,46,"[""BP_0050""]",LOW037
58.88162630385487,59.207989569161,34,"[""BP_0051""]",LOW038
59.207989569161,59.41696916099773,46,"[""BP_0052""]",LOW039
59.41696916099773,59.881368253968255,39,"[""BP_0053"", ""BP_0054""]",LOW040
59.927808163265304,60.20644761904762,34,"[""BP_0055""]",LOW041
60.21805759637188,60.55474693877551,41,"[""BP_0056""]",LOW042
60.67084671201814,60.91594013605442,42,"[""BP_0057""]",LOW043
60.91594013605442,61.05525986394558,43,"[""BP_0058""]",LOW044
61.06686984126984,61.26423945578232,43,"[""BP_0059""]",LOW045
61.33389931972789,61.67058866213152,47,"[""BP_0060"", ""BP_0061""]",LOW046
61.70541859410431,62.04210793650793,48,"[""BP_0062"", ""BP_0063""]",LOW047
62.181427664399095,62.42523718820861,52,"[""BP_0064""]",LOW048
62.92575011337868,63.16955963718821,52,"[""BP_0065""]",LOW049
63.18116961451247,63.34370929705216,53,"[""BP_0066""]",LOW050
63.90098820861678,64.10996780045352,57,"[""BP_0067""]",LOW051
64.27250748299319,64.29572743764172,55,"[""BP_0068""]",LOW052
64.29572743764172,64.4582671201814,43,"[""BP_0069""]",LOW053
64.4582671201814,64.50470702947845,55,"[""BP_0068""]",LOW054
64.64402675736962,64.86590022675738,53,"[""BP_0070""]",LOW055
64.97039002267573,65.30707936507937,47,"[""BP_0071"", ""BP_0072""]",LOW056
65.423179138322,65.69020861678004,46,"[""BP_0073""]",LOW057
66.06172789115647,66.37519727891157,50,"[""BP_0074""]",LOW058
66.42163718820862,66.66544671201814,46,"[""BP_0075""]",LOW059
66.66544671201814,67.22400952380953,38,"[""BP_0076"", ""BP_0078""]",LOW060
67.22400952380953,67.44459909297052,43,"[""BP_0080""]",LOW061
67.47942902494331,67.68840861678004,41,"[""BP_0081""]",LOW062
67.80450839002268,68.16441768707483,35,"[""BP_0082"", ""BP_0084""]",LOW063
68.16441768707483,68.51271700680272,34,"[""BP_0085"", ""BP_0087""]",LOW064
68.51271700680272,68.8855201814059,36,"[""BP_0088"", ""BP_0090""]",LOW065
68.94357006802721,69.22220952380952,37,"[""BP_0091""]",LOW066
69.26864943310657,69.28025941043084,50,"[""BP_0092""]",LOW067
69.28025941043084,69.54728888888889,38,"[""BP_0093""]",LOW068
69.54728888888889,70.02329795918368,39,"[""BP_0094"", ""BP_0095""]",LOW069
70.02329795918368,70.29032743764172,46,"[""BP_0096"", ""BP_0097""]",LOW070
70.29032743764172,70.45286712018141,43,"[""BP_0098""]",LOW071
70.46447709750566,70.68506666666667,43,"[""BP_0099""]",LOW072
70.71989659863945,71.1043097505669,39,"[""BP_0100""]",LOW073
