attack_event_id,source_episode_ids,hypothesis_ids,pitch_hypotheses,route,BP_native_onsets_s,search_windows_s,candidate_count,selector_status,selected_acoustic_timestamp_s,timing_provenance,shared_attack,nearest_PLP_quarter,measure,beat,PLP_time_s,delta_B_ms,quarter_multiplicity,abstention_reason,notes
BASS_V1_001,HF002,BP_0004,[43],AMBIGUOUS_ROUTE,"{""BP_0004"": 48.019878004535144}","{""BP_0004"": [47.869878004535146, 48.16987800453514]}",39,ATTACK_SELECTED_IDENTITY_UNRESOLVED,48.16816326530612,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q132,33,2,48.15818594104309,9.977324263033438,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_002,HF005,BP_0008,[32],AMBIGUOUS_ROUTE,"{""BP_0008"": 48.61198684807256}","{""BP_0008"": [48.46198684807256, 48.76198684807256]}",28,ATTACK_SELECTED_IDENTITY_UNRESOLVED,48.761814058956915,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q134,33,4,48.901224489795915,-139.41043083899984,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_003,HF012,BP_0018;BP_0019,[33],AMBIGUOUS_ROUTE,"{""BP_0018"": 51.56348888888889, ""BP_0019"": 51.586708843537416}","{""BP_0018"": [51.41348888888889, 51.71348888888889], ""BP_0019"": [51.43670884353742, 51.736708843537414]}",53,ATTACK_SELECTED_IDENTITY_UNRESOLVED,51.71111111111111,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q142,35,4,51.85015873015873,-139.04761904762353,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_004,HF014,BP_0022;BP_0023,[39],AMBIGUOUS_ROUTE,"{""BP_0022"": 52.16720770975057, ""BP_0023"": 52.16720770975057}","{""BP_0022"": [52.01720770975057, 52.31720770975057], ""BP_0023"": [52.01720770975057, 52.31720770975057]}",78,ATTACK_SELECTED_IDENTITY_UNRESOLVED,52.31174603174603,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q143,36,1,52.22167800453515,90.06802721088292,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_005,HF027,BP_0040,[35],AMBIGUOUS_ROUTE,"{""BP_0040"": 57.03563990929705}","{""BP_0040"": [56.885639909297055, 57.18563990929705]}",36,ATTACK_SELECTED_IDENTITY_UNRESOLVED,57.181678004535144,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q157,39,3,57.330068027210885,-148.3900226757413,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_006,HF029,BP_0042;BP_0043,[36],AMBIGUOUS_ROUTE,"{""BP_0042"": 57.34910929705215, ""BP_0043"": 57.37232925170068}","{""BP_0042"": [57.19910929705215, 57.49910929705215], ""BP_0043"": [57.22232925170068, 57.522329251700675]}",75,ATTACK_SELECTED_IDENTITY_UNRESOLVED,57.51292517006803,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q158,39,4,57.67836734693878,-165.44217687074791,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_007,HF039,BP_0058;BP_0059,[43],AMBIGUOUS_ROUTE,"{""BP_0058"": 60.91594013605442, ""BP_0059"": 61.06686984126984}","{""BP_0058"": [60.76594013605442, 61.065940136054415], ""BP_0059"": [60.91686984126984, 61.21686984126984]}",109,ATTACK_SELECTED_IDENTITY_UNRESOLVED,61.06585034013606,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q167,42,1,60.929160997732424,136.68934240363484,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_008,HF040,BP_0060;BP_0061,[47],AMBIGUOUS_ROUTE,"{""BP_0060"": 61.33389931972789, ""BP_0061"": 61.53126893424036}","{""BP_0060"": [61.18389931972789, 61.48389931972789], ""BP_0061"": [61.38126893424036, 61.68126893424036]}",118,ATTACK_SELECTED_IDENTITY_UNRESOLVED,61.66848072562358,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q169,42,3,61.695419501133784,-26.938775510203072,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_009,HF041,BP_0062;BP_0063,[48],AMBIGUOUS_ROUTE,"{""BP_0062"": 61.70541859410431, ""BP_0063"": 61.86795827664399}","{""BP_0062"": [61.55541859410431, 61.85541859410431], ""BP_0063"": [61.71795827664399, 62.01795827664399]}",101,ATTACK_SELECTED_IDENTITY_UNRESOLVED,62.015691609977324,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q170,42,4,62.0669387755102,-51.247165532878114,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
BASS_V1_010,HF044,BP_0066,[53],SECURE_ROUTE,"{""BP_0066"": 63.18116961451247}","{""BP_0066"": [63.03116961451247, 63.33116961451247]}",40,ATTACK_SELECTED,63.31174603174603,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,Q173,43,3,63.181496598639455,130.24943310657733,1,,JGA-estimated historical Bass-stem attack coordinate; not historical physical GT.
