episode_id,route,frozen_flag,hypothesis_ids,frozen_member_ids,root_ids,frozen_root_onset_s,fundamental_midi,frozen_flags
HF001,SECURE_ROUTE,UNFLAGGED,"[""BP_0003""]","[""BP_0003""]","[""BP_0003""]",47.79928843537415,39,[]
HF002,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0004""]","[""BP_0004""]","[""BP_0004""]",48.019878004535144,43,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF003,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0005"", ""BP_0006""]","[""BP_0005"", ""BP_0006""]","[""BP_0005""]",48.10114784580499,31,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF004,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0007""]","[""BP_0007""]","[""BP_0007""]",48.577156916099774,44,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF005,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0008""]","[""BP_0008""]","[""BP_0008""]",48.61198684807256,32,"[""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF006,SECURE_ROUTE,UNFLAGGED,"[""BP_0009""]","[""BP_0009""]","[""BP_0009""]",48.97189614512472,33,[]
HF007,SECURE_ROUTE,UNFLAGGED,"[""BP_0010""]","[""BP_0010""]","[""BP_0010""]",49.35630929705216,34,[]
HF008,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0012"", ""BP_0011""]","[""BP_0012"", ""BP_0011""]","[""BP_0012""]",49.669778684807255,35,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF009,SECURE_ROUTE,UNFLAGGED,"[""BP_0013""]","[""BP_0013""]","[""BP_0013""]",50.052907936507935,36,[]
HF010,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0014"", ""BP_0015"", ""BP_0016""]","[""BP_0014"", ""BP_0015"", ""BP_0016""]","[""BP_0014""]",50.35476734693877,28,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF011,SECURE_ROUTE,UNFLAGGED,"[""BP_0017""]","[""BP_0017""]","[""BP_0017""]",51.18035963718821,29,[]
HF012,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0019"", ""BP_0018""]","[""BP_0019"", ""BP_0018""]","[""BP_0019""]",51.586708843537416,33,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF013,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0021"", ""BP_0020""]","[""BP_0021"", ""BP_0020""]","[""BP_0021""]",51.87695827664399,38,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF014,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0022"", ""BP_0023""]","[""BP_0022"", ""BP_0023""]","[""BP_0022""]",52.16720770975057,39,"[""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL""]"
HF015,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0024"", ""BP_0025"", ""BP_0026""]","[""BP_0024"", ""BP_0025"", ""BP_0026""]","[""BP_0024"", ""BP_0026""]",52.573556916099776,36,"[""FRAGMENT_OR_REARTICULATION"", ""HARMONIC_VS_NEW_HIGHER_FUNDAMENTAL"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF016,AMBIGUOUS_ROUTE,FLAGGED,"[""BP_0027"", ""BP_0028""]","[""BP_0027"", ""BP_0028""]","[""BP_0027"", ""BP_0028""]",52.887026303854874,43,"[""FRAGMENT_OR_REARTICULATION"", ""OVERLAPPING_FUNDAMENTAL_HYPOTHESES""]"
HF017,SECURE_ROUTE,UNFLAGGED,"[""BP_0029""]","[""BP_0029""]","[""BP_0029""]",53.37592925170068,41,[]
HF018,SECURE_ROUTE,UNFLAGGED,"[""BP_0030""]","[""BP_0030""]","[""BP_0030""]",53.72422857142857,46,[]
