BP_id,take,selected_timestamp,operational_group,cohort_direct_membership,cohort_component_membership,GT_temporally_compatible_ids,GT_errors_ms,audit_state,qualification,native_BP_onset,native_BP_offset,native_BP_midi,native_BP_amplitude,prior_selector_output
T04_N020,20260914_0031,111.41541950113378,RG0048,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": [""GAL09_20260914_S1_G_MF_R07""]}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",111.29548117913832,111.46963083900226,43,0.6248090267181396,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N054,20260914_0031,0.015600907029478459,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",0.034829931972789115,4.704608616780045,31,0.7921334505081177,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N057,20260914_0031,4.529342403628117,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",4.518848979591836,4.91358820861678,33,0.4950808882713318,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N062,20260914_0031,0.015600907029478459,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",0.011609977324263039,4.91358820861678,38,0.5371766090393066,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N072,20260914_0031,0.7140136054421768,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",0.5688888888888889,1.6253968253968254,28,0.5199322700500488,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N084,20260914_0031,4.676009070294785,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",4.5304589569161,4.6813886621315195,26,0.43332675099372864,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N097,20260914_0031,2.3133786848072564,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",2.230399546485261,2.6831886621315193,26,0.36303460597991943,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N098,20260914_0031,1.8334693877551018,RG0041,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": []}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",1.7647165532879818,2.0562498866213152,26,0.36399605870246887,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N113,20260914_0031,12.924263038548753,RG0042,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": [""GAL09_20260914_S1_G_MF_R01""]}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",12.801898412698414,12.952828117913832,28,0.36114996671676636,Selected existing candidate for one raw BP query; not previously established as a physical-note event
T04_N127,20260914_0031,12.464308390022676,RG0042,"{""natural_ambiguous"": [], ""masked_holdout"": []}","{""natural_ambiguous"": [], ""masked_holdout"": [""GAL09_20260914_S1_G_MF_R01""]}",[],[],UNVERIFIED_RAW_SELECTION,"Temporal compatibility is supporting evidence only, not proof of independent physical attack. Raw query multiplicity retained.",12.349109297052154,12.581308843537416,28,0.3353942036628723,Selected existing candidate for one raw BP query; not previously established as a physical-note event
