boundary_id,fundamental_episode_id,pitch_midi,pitch_name,segment_A_id,segment_A_end_s,segment_B_id,segment_B_start_s,A_to_B_gap_ms,bass_stem_attack_evidence,full_mix_attack_evidence,spectral_front_evidence,classification,confidence,reason
FR01,HF002 -> HF003,43,G2,BP_0004,48.194027664399094,BP_0006,48.194027664399094,0.0,Post/pre low-band energy median ratio 0.3319; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.3309; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.8019, mix 0.8102; these are descriptive, not decision thresholds",AMBIGUOUS,LOW,"Continuous decay at B, but the preceding compound attack contains different frozen family identities. Same MIDI does not establish the same fundamental; no cross-family merge."
FR02,HF015,36,C2,BP_0024,52.71287664399093,BP_0026,52.724486621315194,11.609977324262388,Post/pre low-band energy median ratio 0.7459; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.7885; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.6149, mix 0.6232; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"An earlier rise is followed by regularly oscillating, gradually declining low-band energy and RMS across the B boundary. No separate envelope restart is visible in Bass or matching mix low-band evidence."
FR03,HF016,43,G2,BP_0027,53.0856798185941,BP_0028,53.0856798185941,0.0,Post/pre low-band energy median ratio 0.0872; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.0868; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.2058, mix 0.1964; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"B starts within the declining tail of an earlier broad energy lobe. Bass amplitude, low-band energy and flux continue downward; the mix low-band curve follows the same decay."
FR04,HF030,28,E1,BP_0044,57.70901859410431,BP_0046,57.70901859410431,0.0,Post/pre low-band energy median ratio 48.8585; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 19.5117; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 10.6993, mix 4.0491; these are descriptive, not decision thresholds",AMBIGUOUS,LOW,"A distinct rise develops roughly 30 ms before B, supported in both representations. A was already labelled E1 during weak activity. It is unclear whether this is a second same-pitch pizzicato or the first actual attack preceded by an early BP hypothesis; do not merge or assert two physical notes."
FR05,HF033 -> HF034,46,A#2,BP_0050,59.173159637188206,BP_0052,59.173159637188206,0.0,Post/pre low-band energy median ratio 0.2342; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.2242; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 1.4879, mix 1.0663; these are descriptive, not decision thresholds",AMBIGUOUS,LOW,"A short strong pre-B burst is visible in both signals, but the same MIDI changes from root to harmonic of a different frozen family. Attack source/ownership cannot be resolved in this restricted experiment."
FR06,HF035,39,D#2,BP_0053,59.614338775510205,BP_0054,59.614338775510205,0.0,Post/pre low-band energy median ratio 0.5971; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.4898; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.8482, mix 0.7831; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,The earlier amplitude/energy establishment decays through B with continued periodic flux. No new low-band energy establishment or discrete waveform attack occurs at the split.
FR07,HF039,43,G2,BP_0058,61.05525986394558,BP_0059,61.06686984126984,11.609977324262388,Post/pre low-band energy median ratio 0.1548; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.1466; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.1894, mix 0.1913; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"A smooth energy lobe established well before B falls through B without restarting. Full-mix broadband activity is present, but the matching low-band Bass decay lacks a new front."
FR08,HF040,47,B2,BP_0060,61.53126893424036,BP_0061,61.53126893424036,0.0,Post/pre low-band energy median ratio 0.9475; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.9268; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.0839, mix 0.1094; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,Sustained Bass oscillation and nearly level low-band energy cross B with very small flux. Later mix-only fluctuations do not provide Bass rearticulation evidence at this boundary.
FR09,HF041,48,C3,BP_0062,61.86795827664399,BP_0063,61.86795827664399,0.0,Post/pre low-band energy median ratio 1.3003; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 1.4044; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.1818, mix 0.2327; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"A modest smooth post-B energy swelling occurs, but waveform oscillation remains continuous and boundary flux is weak compared with the earlier attack. No discrete renewed attack episode is visible; swelling alone is not rearticulation."
FR10,HF048,47,B2,BP_0071,65.14453968253969,BP_0072,65.14453968253969,0.0,Post/pre low-band energy median ratio 0.7769; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.8090; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.0349, mix 0.0917; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,Long established Bass oscillation decays smoothly across B. Boundary flux is very small in both representations; later mix peaks do not restart the Bass envelope.
FR11,HF052,38,D2,BP_0076,66.8395963718821,BP_0078,66.8395963718821,0.0,Post/pre low-band energy median ratio 0.7610; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.7727; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.9871, mix 0.9933; these are descriptive, not decision thresholds",AMBIGUOUS,LOW,A strong new low-band rise about 60 ms before B is followed by persistent multi-peak activity. Its position inside A makes the relationship between the MIDI boundary and a second same-pitch attack uncertain; retain both hypotheses.
FR12,HF053,43,G2,BP_0079,67.17756961451246,BP_0080,67.17756961451246,0.0,Post/pre low-band energy median ratio 0.3997; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.3916; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.4027, mix 0.5071; these are descriptive, not decision thresholds",AMBIGUOUS,LOW,"A pronounced envelope/energy rise about 45 ms before B is supported in Bass and mix, with B on its decay. The existing A onset is much earlier. This may be a delayed segmentation response to an attack rather than proof of two same-pitch physical events."
FR13,HF055,35,B1,BP_0082,67.96704807256236,BP_0084,67.96704807256236,0.0,Post/pre low-band energy median ratio 0.4339; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.4225; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.5311, mix 0.5093; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"B lies in an already established train of declining low-band oscillations. Earlier peaks and a perturbation remain visible, but no independent envelope restart occurs around B."
FR14,HF056,34,A#1,BP_0085,68.32695736961452,BP_0087,68.32695736961452,0.0,Post/pre low-band energy median ratio 0.5909; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.6522; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.6681, mix 0.6686; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,The large earlier attack produces a multi-peak oscillatory energy envelope that continues and declines across B. The boundary is not accompanied by renewed establishment in Bass or mix.
FR15,HF057,36,C2,BP_0088,68.68686666666667,BP_0090,68.68686666666667,0.0,Post/pre low-band energy median ratio 0.6033; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.5496; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.6043, mix 0.4904; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,Bass RMS and low-band energy follow the earlier attack into declining oscillatory activity through B. Mix fluctuations do not create a corresponding new Bass envelope.
FR16,HF060,39,D#2,BP_0094,69.75626848072562,BP_0095,69.75626848072562,0.0,Post/pre low-band energy median ratio 0.7792; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.7014; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.6719, mix 0.5101; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,"After an earlier energy rise, stable same-note oscillation and gently declining energy pass through B. Local flux maxima continue without a distinct second attack episode."
FR17,HF061,46,A#2,BP_0096,70.1742276643991,BP_0097,70.1742276643991,0.0,Post/pre low-band energy median ratio 0.6667; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.6610; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.2273, mix 0.2424; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,B is well into the tail of the earlier energy/flux onset. The continuing envelope has no new steep rise; later predominantly mix activity does not corroborate a Bass attack at B.
FR18,HF062,43,G2,BP_0098,70.45286712018141,BP_0099,70.46447709750566,11.609977324255283,Post/pre low-band energy median ratio 0.0919; inspect waveform and 5ms RMS,Post/pre low-band energy median ratio 0.0907; shared decay/rise interpreted in reason,"Boundary/earlier maximum flux ratio Bass 0.4294, mix 0.4410; these are descriptive, not decision thresholds",SAME_NOTE_FRAGMENT,MEDIUM,The earlier broad energy lobe falls steeply across the short MIDI gap into a weak tail. Both representations show continuation/decay rather than an independent new front.
