event_id,source_wav,source_sha256,take_id,string,pitch,midi_pitch,dynamic,articulation,status,final_center_s,final_earliest_s,final_latest_s,uncertainty_width_ms,pass1_center_s,pass1_earliest_s,pass1_latest_s,pass2_center_s,pass2_earliest_s,pass2_latest_s,adjudication_item,final_provenance,decision_detail,reason,repetition,reference_class
GAL09_20260914_S1_E_MF_R01,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,4.006108843537415,4.005108843537415,4.007108843537415,2.0,4.006108843537415,4.005108843537415,4.007108843537415,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,1,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_E_MF_R02,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,PI_DOCUMENTED_PIZZICATO,FINAL,20.02135714285714285714285714,20.02022448979591836734693878,20.02322448979591836734693878,3.00000000000000000000000000,20.02148979591836734693877551,20.02048979591836734693877551,20.02248979591836734693877551,20.02122448979591836734693878,20.02022448979591836734693878,20.02322448979591836734693878,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,2,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_E_MF_R03,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,35.00531746031746,35.00414512471655,35.00648979591837,2.3446712018140587,35.005489795918365,35.00448979591837,35.00648979591837,35.005145124716556,35.00414512471655,35.006145124716554,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,3,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_E_MF_R04,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,52.129503401360545,52.12850340136055,52.13050340136054,2.0,52.129503401360545,52.12850340136055,52.13050340136054,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,4,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_E_MF_R05,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,PI_DOCUMENTED_PIZZICATO,FINAL,67.23912244897959186394557823,67.23812244897959186394557823,67.24012244897959186394557823,2.00000000000000000000000000,67.23843537414965986394557823,67.23743537414965986394557823,67.24043537414965986394557823,67.23912244897959183673469388,67.23812244897959183673469388,67.24012244897959183673469388,J02,PI_EXPLICIT_ADJUDICATION,PI_CHOSE_ANNOTATION_B,più precisa rispetto all'altra scelta,5,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_E_MF_R06,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,80.13910770975056,80.13809070294785,80.14012471655329,2.0340136054421767,80.13912471655328,80.13812471655329,80.14012471655329,80.13909070294784,80.13809070294785,80.14009070294784,,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,6,NEW_TWO_PASS_MIDPOINT_OUTER_ENVELOPE
GAL09_20260914_S1_E_MF_R07,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,91.58254648526078,91.58154648526077,91.58354648526077,2.0,91.58254648526078,91.58154648526077,91.58354648526077,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,7,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_E_MF_R08,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,PI_DOCUMENTED_PIZZICATO,FINAL,105.1137426303854875283446712,105.1127346938775510204081633,105.1147505668934240362811791,2.0158730158730158730158000,105.1137346938775510204081633,105.1127346938775510204081633,105.1147346938775510204081633,105.1137505668934240362811791,105.1127505668934240362811791,105.1147505668934240362811791,,PI_AUTHORIZED_TWO_PASS_MIDPOINT_WITH_OUTER_ENVELOPE,prospective fixed neutral rule; not sub-ms human accuracy,PI authorized rule for remaining 27 high-repeatability events,8,EXISTING_GT36_UNCHANGED
GAL09_20260914_S1_E_MF_R09,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,116.7578798185941,116.7568798185941,116.75887981859411,2.0,116.7578798185941,116.7568798185941,116.75887981859411,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,9,NEW_PRIMARY_ONLY_COHORT_AUDITED
GAL09_20260914_S1_E_MF_R10,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,3666e5e5d426fb4d70684020357d01f491582d1e764cda3387109cbd130824dc,20260914_0028,E,E1,28,mf,pizzicato,FINAL,130.9466485260771,130.9456485260771,130.9476485260771,2.0,130.9466485260771,130.9456485260771,130.9476485260771,,,,,NEW_PRIMARY_ONLY_COHORT_AUDITED,Current PI-authorized conditional construction; FINAL_REFERENCE_RULE.json recorded before Pass2 comparison,No adjudication trigger; source coordinates restored from native crop offsets,10,NEW_PRIMARY_ONLY_COHORT_AUDITED
