GT_event_id,take,string,condition,expected_pitch,GT_onset,GT_lower_bound,GT_upper_bound,matched_BP_event_id,BP_MIDI_pitch,BP_onset,BP_offset,match_classification,signed_error_ms,absolute_error_ms,interval_relation,notes,candidate_ids,source_wav,clip_id
GAL09_20260914_S1_E_MF_R01,20260914_0028,E,mf,28,4.006108843537415,4.005108843537415,4.007108843537415,T01_N020,28,4.031229931972789,19.458267120181404,CORRECT_PITCH_MATCH,25.121088435374084,25.121088435374084,AFTER,"1 exact-pitch, 3 octave-equivalent, 4 total persistent hypotheses; no timing-error ranking",T01_N020,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R02,20260914_0028,E,mf,28,20.02135714285714,20.02022448979592,20.02322448979592,T01_N018,28,19.958780045351475,34.60794875283447,CORRECT_PITCH_MATCH,-62.57709750566676,62.57709750566676,BEFORE,"1 exact-pitch, 3 octave-equivalent, 4 total persistent hypotheses; no timing-error ranking",T01_N018,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R03,20260914_0028,E,mf,28,35.00531746031746,35.00414512471655,35.00648979591837,T01_N017,28,34.99107800453515,44.28547936507937,CORRECT_PITCH_MATCH,-14.239455782309562,14.239455782309562,BEFORE,"1 exact-pitch, 4 octave-equivalent, 5 total persistent hypotheses; no timing-error ranking",T01_N017,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R04,20260914_0028,E,mf,28,52.129503401360545,52.12850340136055,52.13050340136054,T01_N011,28,52.13895963718821,65.58069070294785,CORRECT_PITCH_MATCH,9.456235827663306,9.456235827663306,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T01_N011,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R05,20260914_0028,E,mf,28,67.23912244897959,67.2381224489796,67.24012244897959,T01_N009,28,67.28735736961451,78.73088843537415,CORRECT_PITCH_MATCH,48.234920634925516,48.234920634925516,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T01_N009,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R06,20260914_0028,E,mf,28,80.13910770975056,80.13809070294785,80.14012471655329,T01_N008,28,80.17180952380953,91.27736734693877,CORRECT_PITCH_MATCH,32.701814058967216,32.701814058967216,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T01_N008,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R07,20260914_0028,E,mf,28,91.58254648526078,91.58154648526077,91.58354648526077,T01_N007,28,91.61534058956916,104.71909841269841,CORRECT_PITCH_MATCH,32.7941043083797,32.7941043083797,AFTER,"1 exact-pitch, 3 octave-equivalent, 4 total persistent hypotheses; no timing-error ranking",T01_N007,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R08,20260914_0028,E,mf,28,105.11374263038549,105.11273469387756,105.11475056689342,T01_N006,28,105.16027755102041,114.81458820861678,CORRECT_PITCH_MATCH,46.534920634925925,46.534920634925925,AFTER,"1 exact-pitch, 3 octave-equivalent, 4 total persistent hypotheses; no timing-error ranking",T01_N006,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R09,20260914_0028,E,mf,28,116.7578798185941,116.7568798185941,116.75887981859411,T01_N004,28,116.78956825396826,126.2929492063492,CORRECT_PITCH_MATCH,31.688435374150004,31.688435374150004,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T01_N004,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
GAL09_20260914_S1_E_MF_R10,20260914_0028,E,mf,28,130.9466485260771,130.9456485260771,130.9476485260771,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 3 octave-equivalent, 5 total persistent hypotheses; no timing-error ranking",T01_N001;T01_N002,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0028 [2026-09-14 170910].wav,T01
