episode_id,BP_member_id,query_id,pitch_name,midi_pitch,f0_hz,BP_onset_s,BP_offset_s,window_start_s,window_end_s,target_frequency_bandwidth_ENBW_hz,supporting_harmonics_observed,supporting_harmonics_with_same_rise,target_onset_status,target_onset_candidates_s,selected_clear_onset_s,selected_minus_BP_ms,target_observation,harmonic_observations,ambiguity_notes,episode_status
HF001,BP_0003,HF001_BP_0003_39,D#2,39,77.78174593052023,47.79928843537415,48.00826802721088,47.64928843537415,47.94928843537415,29.166666666666664,2,0,TARGET_ONSET_CLEAR,[47.757460317460314],47.757460317460314,-41.82811791383756,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [47.757460317460314], ""baseline"": 0.0007063285338352789, ""peak"": 0.00624825031453846, ""low"": 0.0018147128899759152, ""high"": 0.004031481602257187, ""relative_power_proxy"": 0.22944733286182417, ""dynamic_ratio"": 8.846096420048632, ""incomplete_rise"": false, ""f0"": 77.78174593052023, ""kernel_samples"": 2269, ""support_ms"": 51.45124716553288, ""ENBW_hz"": 29.166666666666664, ""tuning_low_hz"": 76.2250373404866, ""tuning_high_hz"": 79.37024645820105, ""approx_first_null_halfwidth_hz"": 38.888888888888886}","[{""status"": ""TARGET_ACTIVITY_CONTINUOUS"", ""candidate_s"": [], ""baseline"": 0.00028539387470634424, ""peak"": 0.00640075104946022, ""low"": 0.0015084653096571195, ""high"": 0.00395460817955867, ""relative_power_proxy"": 0.13559327361893778, ""dynamic_ratio"": 22.427780049751476, ""incomplete_rise"": false, ""f0"": 155.56349186104046, ""kernel_samples"": 1135, ""support_ms"": 25.736961451247165, ""ENBW_hz"": 58.33333333333333, ""tuning_low_hz"": 152.4500746809732, ""tuning_high_hz"": 158.7404929164021, ""approx_first_null_halfwidth_hz"": 77.77777777777777, ""harmonic_number"": 2, ""supports_primary_candidates"": []}, {""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [47.65170068027211], ""baseline"": 3.005617392106334e-05, ""peak"": 0.0017022987461207551, ""low"": 0.0003645046883610017, ""high"": 0.0010334017172408784, ""relative_power_proxy"": 0.02103801188929247, ""dynamic_ratio"": 56.63724034175172, ""incomplete_rise"": false, ""f0"": 233.3452377915607, ""kernel_samples"": 757, ""support_ms"": 17.165532879818592, ""ENBW_hz"": 87.5, ""tuning_low_hz"": 228.67511202145977, ""tuning_high_hz"": 238.11073937460318, ""approx_first_null_halfwidth_hz"": 116.66666666666667, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_CLEAR
HF002,BP_0004,HF002_BP_0004_43,G2,43,97.99885899543733,48.019878004535144,48.194027664399094,47.869878004535146,48.16987800453514,36.75000000000001,1,1,TARGET_ONSET_CLEAR,[48.11065759637188],48.11065759637188,90.77959183673556,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.11065759637188], ""baseline"": 0.0001954402778407617, ""peak"": 0.08470678879751584, ""low"": 0.017097709981775778, ""high"": 0.05090224938964581, ""relative_power_proxy"": 0.20063857798496978, ""dynamic_ratio"": 433.4152086425713, ""incomplete_rise"": false, ""f0"": 97.99885899543733, ""kernel_samples"": 1801, ""support_ms"": 40.8390022675737, ""ENBW_hz"": 36.75000000000001, ""tuning_low_hz"": 96.03752907430179, ""tuning_high_hz"": 100.00024424803152, ""approx_first_null_halfwidth_hz"": 49.0}","[{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.122630385487525], ""baseline"": 7.934199212970763e-06, ""peak"": 0.012903776326139167, ""low"": 0.00258710262459821, ""high"": 0.007745439475368689, ""relative_power_proxy"": 0.02352885894175304, ""dynamic_ratio"": 1626.3489206376573, ""incomplete_rise"": false, ""f0"": 195.99771799087466, ""kernel_samples"": 901, ""support_ms"": 20.430839002267575, ""ENBW_hz"": 73.5, ""tuning_low_hz"": 192.07505814860357, ""tuning_high_hz"": 200.00048849606304, ""approx_first_null_halfwidth_hz"": 98.0, ""harmonic_number"": 2, ""supports_primary_candidates"": [48.11065759637188]}, {""status"": ""TARGET_NOT_OBSERVABLE"", ""candidate_s"": [], ""baseline"": 1.7421936824320175e-06, ""peak"": 0.004059689171681923, ""low"": 0.0008133315892823303, ""high"": 0.0024365103804821265, ""relative_power_proxy"": 0.007152859460670551, ""dynamic_ratio"": 2330.2169056282946, ""incomplete_rise"": false, ""f0"": 293.996576986312, ""kernel_samples"": 601, ""support_ms"": 13.628117913832199, ""ENBW_hz"": 110.25, ""tuning_low_hz"": 288.11258722290535, ""tuning_high_hz"": 300.00073274409453, ""approx_first_null_halfwidth_hz"": 147.0, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_CLEAR
HF003,BP_0005,HF003_BP_0005_31,G1,31,48.999429497718666,48.10114784580499,48.61198684807256,47.95114784580499,48.25114784580499,18.375,2,1,TARGET_ONSET_CLEAR,[48.13061224489796],48.13061224489796,29.464399092972826,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.13061224489796], ""baseline"": 2.0434600883783473e-05, ""peak"": 0.01723270601457968, ""low"": 0.0034628888836229633, ""high"": 0.010347797449101323, ""relative_power_proxy"": 0.050262147653489096, ""dynamic_ratio"": 843.3101342466265, ""incomplete_rise"": false, ""f0"": 48.999429497718666, ""kernel_samples"": 3601, ""support_ms"": 81.65532879818595, ""ENBW_hz"": 18.375, ""tuning_low_hz"": 48.01876453715089, ""tuning_high_hz"": 50.00012212401576, ""approx_first_null_halfwidth_hz"": 24.5}","[{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.11065759637188], ""baseline"": 0.00019280199172608346, ""peak"": 0.08470678879751577, ""low"": 0.01709559935288402, ""high"": 0.05090119407519989, ""relative_power_proxy"": 0.30384783015208544, ""dynamic_ratio"": 439.3460256253987, ""incomplete_rise"": false, ""f0"": 97.99885899543733, ""kernel_samples"": 1801, ""support_ms"": 40.8390022675737, ""ENBW_hz"": 36.75000000000001, ""tuning_low_hz"": 96.03752907430179, ""tuning_high_hz"": 100.00024424803152, ""approx_first_null_halfwidth_hz"": 49.0, ""harmonic_number"": 2, ""supports_primary_candidates"": [48.13061224489796]}, {""status"": ""TARGET_ONSET_UNRESOLVED"", ""candidate_s"": [], ""baseline"": 2.47060187219038e-05, ""peak"": 0.027102691100059556, ""low"": 0.005440303034989434, ""high"": 0.016271497067524496, ""relative_power_proxy"": 0.04094848202092214, ""dynamic_ratio"": 1097.0076322346065, ""incomplete_rise"": false, ""f0"": 146.998288493156, ""kernel_samples"": 1201, ""support_ms"": 27.233560090702948, ""ENBW_hz"": 55.125000000000014, ""tuning_low_hz"": 144.05629361145267, ""tuning_high_hz"": 150.00036637204727, ""approx_first_null_halfwidth_hz"": 73.5, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_UNRESOLVED
HF003,BP_0006,HF003_BP_0006_31,G1,31,48.999429497718666,48.194027664399094,48.48427709750567,48.044027664399096,48.34402766439909,18.375,2,1,TARGET_ONSET_CLEAR,[48.132607709750566],48.132607709750566,-61.41995464852812,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.132607709750566], ""baseline"": 0.001550977247771601, ""peak"": 0.01723270601457968, ""low"": 0.004687323001133218, ""high"": 0.010960014507856448, ""relative_power_proxy"": 0.07515890616955737, ""dynamic_ratio"": 11.110869639989325, ""incomplete_rise"": false, ""f0"": 48.999429497718666, ""kernel_samples"": 3601, ""support_ms"": 81.65532879818595, ""ENBW_hz"": 18.375, ""tuning_low_hz"": 48.01876453715089, ""tuning_high_hz"": 50.00012212401576, ""approx_first_null_halfwidth_hz"": 24.5}","[{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.11365079365079], ""baseline"": 0.007860238610816242, ""peak"": 0.08470678879751577, ""low"": 0.02322954864815615, ""high"": 0.05396816872283596, ""relative_power_proxy"": 0.3011348594990152, ""dynamic_ratio"": 10.776617987264823, ""incomplete_rise"": false, ""f0"": 97.99885899543733, ""kernel_samples"": 1801, ""support_ms"": 40.8390022675737, ""ENBW_hz"": 36.75000000000001, ""tuning_low_hz"": 96.03752907430179, ""tuning_high_hz"": 100.00024424803152, ""approx_first_null_halfwidth_hz"": 49.0, ""harmonic_number"": 2, ""supports_primary_candidates"": [48.132607709750566]}, {""status"": ""TARGET_ACTIVITY_CONTINUOUS"", ""candidate_s"": [], ""baseline"": 0.0005078349702181739, ""peak"": 0.02710269110005955, ""low"": 0.0058268061961864485, ""high"": 0.016464748648122998, ""relative_power_proxy"": 0.03719178092693634, ""dynamic_ratio"": 53.36909171185239, ""incomplete_rise"": false, ""f0"": 146.998288493156, ""kernel_samples"": 1201, ""support_ms"": 27.233560090702948, ""ENBW_hz"": 55.125000000000014, ""tuning_low_hz"": 144.05629361145267, ""tuning_high_hz"": 150.00036637204727, ""approx_first_null_halfwidth_hz"": 73.5, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_UNRESOLVED
HF003,BP_0006,HF003_BP_0006_43,G2,43,97.99885899543733,48.194027664399094,48.48427709750567,48.044027664399096,48.34402766439909,36.75000000000001,1,1,TARGET_ONSET_CLEAR,[48.11365079365079],48.11365079365079,-80.37687074830302,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.11365079365079], ""baseline"": 0.007860238610816242, ""peak"": 0.08470678879751577, ""low"": 0.02322954864815615, ""high"": 0.05396816872283596, ""relative_power_proxy"": 0.3011348594990152, ""dynamic_ratio"": 10.776617987264823, ""incomplete_rise"": false, ""f0"": 97.99885899543733, ""kernel_samples"": 1801, ""support_ms"": 40.8390022675737, ""ENBW_hz"": 36.75000000000001, ""tuning_low_hz"": 96.03752907430179, ""tuning_high_hz"": 100.00024424803152, ""approx_first_null_halfwidth_hz"": 49.0}","[{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.122630385487525], ""baseline"": 0.00024709699284157006, ""peak"": 0.01290377632613916, ""low"": 0.0027784328595010883, ""high"": 0.007841104592820124, ""relative_power_proxy"": 0.016981424102583076, ""dynamic_ratio"": 52.221502891427775, ""incomplete_rise"": false, ""f0"": 195.99771799087466, ""kernel_samples"": 901, ""support_ms"": 20.430839002267575, ""ENBW_hz"": 73.5, ""tuning_low_hz"": 192.07505814860357, ""tuning_high_hz"": 200.00048849606304, ""approx_first_null_halfwidth_hz"": 98.0, ""harmonic_number"": 2, ""supports_primary_candidates"": [48.11365079365079]}, {""status"": ""TARGET_NOT_OBSERVABLE"", ""candidate_s"": [], ""baseline"": 4.2798467141943054e-05, ""peak"": 0.004059689171681913, ""low"": 0.0008461766080499369, ""high"": 0.0024529328898659246, ""relative_power_proxy"": 0.0060296266418251665, ""dynamic_ratio"": 94.85594795294348, ""incomplete_rise"": false, ""f0"": 293.996576986312, ""kernel_samples"": 601, ""support_ms"": 13.628117913832199, ""ENBW_hz"": 110.25, ""tuning_low_hz"": 288.11258722290535, ""tuning_high_hz"": 300.00073274409453, ""approx_first_null_halfwidth_hz"": 147.0, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_UNRESOLVED
HF004,BP_0007,HF004_BP_0007_44,G#2,44,103.82617439498628,48.577156916099774,48.797746485260774,48.427156916099776,48.72715691609977,38.95759717314487,2,0,TARGET_ACTIVITY_CONTINUOUS,[],,,"{""status"": ""TARGET_ACTIVITY_CONTINUOUS"", ""candidate_s"": [], ""baseline"": 0.00011236094938531761, ""peak"": 0.0035819020723461344, ""low"": 0.000806269173977481, ""high"": 0.0021940856231618074, ""relative_power_proxy"": 0.16677253072403048, ""dynamic_ratio"": 31.878531571166903, ""incomplete_rise"": false, ""f0"": 103.82617439498628, ""kernel_samples"": 1699, ""support_ms"": 38.52607709750567, ""ENBW_hz"": 38.95759717314487, ""tuning_low_hz"": 101.74821772768054, ""tuning_high_hz"": 105.94656820770479, ""approx_first_null_halfwidth_hz"": 51.9434628975265}","[{""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [48.46984126984127, 48.572607709750564], ""baseline"": 5.471131091580261e-05, ""peak"": 0.0009099245139727815, ""low"": 0.0002257539515271984, ""high"": 0.00056783923274999, ""relative_power_proxy"": 0.06333048078474814, ""dynamic_ratio"": 16.63137838852189, ""incomplete_rise"": false, ""f0"": 207.65234878997256, ""kernel_samples"": 851, ""support_ms"": 19.29705215419501, ""ENBW_hz"": 77.82352941176471, ""tuning_low_hz"": 203.49643545536108, ""tuning_high_hz"": 211.89313641540957, ""approx_first_null_halfwidth_hz"": 103.76470588235294, ""harmonic_number"": 2, ""supports_primary_candidates"": []}, {""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [48.574603174603176, 48.624489795918365, 48.641451247165534, 48.69233560090703], ""baseline"": 1.2796359683710681e-05, ""peak"": 0.0010886095002904889, ""low"": 0.00022795898780506637, ""high"": 0.0006582842440477776, ""relative_power_proxy"": 0.04640275841455913, ""dynamic_ratio"": 85.07181160875385, ""incomplete_rise"": false, ""f0"": 311.4785231849588, ""kernel_samples"": 567, ""support_ms"": 12.857142857142858, ""ENBW_hz"": 116.87279151943461, ""tuning_low_hz"": 305.2446531830416, ""tuning_high_hz"": 317.8397046231143, ""approx_first_null_halfwidth_hz"": 155.8303886925795, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ACTIVITY_CONTINUOUS
HF005,BP_0008,HF005_BP_0008_32,G#1,32,51.91308719749314,48.61198684807256,48.77452653061224,48.46198684807256,48.76198684807256,19.467333725721012,2,0,TARGET_ACTIVITY_CONTINUOUS,[],,,"{""status"": ""TARGET_ACTIVITY_CONTINUOUS"", ""candidate_s"": [], ""baseline"": 3.591817560706865e-05, ""peak"": 0.0012931690441887098, ""low"": 0.0002873683493233969, ""high"": 0.0007902686967560534, ""relative_power_proxy"": 0.02437263825761854, ""dynamic_ratio"": 36.00319399112842, ""incomplete_rise"": false, ""f0"": 51.91308719749314, ""kernel_samples"": 3399, ""support_ms"": 77.07482993197279, ""ENBW_hz"": 19.467333725721012, ""tuning_low_hz"": 50.87410886384027, ""tuning_high_hz"": 52.97328410385239, ""approx_first_null_halfwidth_hz"": 25.956444967628016}","[{""status"": ""TARGET_ACTIVITY_CONTINUOUS"", ""candidate_s"": [], ""baseline"": 0.00011236094938531777, ""peak"": 0.0028225635954270863, ""low"": 0.0006544014785936715, ""high"": 0.0017384825370103786, ""relative_power_proxy"": 0.1176084735325121, ""dynamic_ratio"": 25.12050326085898, ""incomplete_rise"": false, ""f0"": 103.82617439498628, ""kernel_samples"": 1699, ""support_ms"": 38.52607709750567, ""ENBW_hz"": 38.95759717314487, ""tuning_low_hz"": 101.74821772768054, ""tuning_high_hz"": 105.94656820770479, ""approx_first_null_halfwidth_hz"": 51.9434628975265, ""harmonic_number"": 2, ""supports_primary_candidates"": []}, {""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.56961451247165], ""baseline"": 3.755568804794761e-05, ""peak"": 0.0011997065611372725, ""low"": 0.0002699858626658126, ""high"": 0.0007348462119015425, ""relative_power_proxy"": 0.0492819593121633, ""dynamic_ratio"": 31.94473656308995, ""incomplete_rise"": false, ""f0"": 155.7392615924794, ""kernel_samples"": 1133, ""support_ms"": 25.691609977324262, ""ENBW_hz"": 58.43639575971731, ""tuning_low_hz"": 152.6223265915208, ""tuning_high_hz"": 158.91985231155715, ""approx_first_null_halfwidth_hz"": 77.91519434628975, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ACTIVITY_CONTINUOUS
HF006,BP_0009,HF006_BP_0009_33,A1,33,55.0,48.97189614512472,49.20537959183673,48.82189614512472,49.121896145124715,20.620324189526187,2,1,TARGET_ONSET_CLEAR,[48.92181405895692],48.92181405895692,-50.08208616779797,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [48.92181405895692], ""baseline"": 1.226039891003165e-05, ""peak"": 0.002969883539231538, ""low"": 0.0006037850269743329, ""high"": 0.0017868342831029351, ""relative_power_proxy"": 0.07535722588155419, ""dynamic_ratio"": 242.2338425547908, ""incomplete_rise"": false, ""f0"": 55.0, ""kernel_samples"": 3209, ""support_ms"": 72.76643990929706, ""ENBW_hz"": 20.620324189526187, ""tuning_low_hz"": 53.899240799655864, ""tuning_high_hz"": 56.123239495041524, ""approx_first_null_halfwidth_hz"": 27.49376558603491}","[{""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [48.90385487528345, 48.95673469387755], ""baseline"": 0.00014704894988644033, ""peak"": 0.019474122115951578, ""low"": 0.004012463583099468, ""high"": 0.011743292849525524, ""relative_power_proxy"": 0.2948298151907894, ""dynamic_ratio"": 132.43292203712176, ""incomplete_rise"": true, ""f0"": 110.0, ""kernel_samples"": 1605, ""support_ms"": 36.394557823129254, ""ENBW_hz"": 41.240648379052374, ""tuning_low_hz"": 107.79848159931173, ""tuning_high_hz"": 112.24647899008305, ""approx_first_null_halfwidth_hz"": 54.98753117206982, ""harmonic_number"": 2, ""supports_primary_candidates"": [48.92181405895692]}, {""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [48.97269841269841, 49.02557823129251, 49.04353741496599, 49.080453514739226, 49.0984126984127], ""baseline"": 8.321970796345684e-05, ""peak"": 0.0026833896880122405, ""low"": 0.0006032537039732137, ""high"": 0.0016433216959927269, ""relative_power_proxy"": 0.03699310291129849, ""dynamic_ratio"": 32.24464196858948, ""incomplete_rise"": true, ""f0"": 165.0, ""kernel_samples"": 1071, ""support_ms"": 24.285714285714285, ""ENBW_hz"": 61.82242990654205, ""tuning_low_hz"": 161.69772239896758, ""tuning_high_hz"": 168.36971848512457, ""approx_first_null_halfwidth_hz"": 82.42990654205607, ""harmonic_number"": 3, ""supports_primary_candidates"": []}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_CLEAR
HF007,BP_0010,HF007_BP_0010_34,A#1,34,58.27047018976124,49.35630929705216,49.54206893424036,49.20630929705216,49.506309297052155,21.846103038309113,2,2,TARGET_ONSET_CLEAR,[49.32390022675737],49.32390022675737,-32.4090702947899,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [49.32390022675737], ""baseline"": 0.00017985639230594765, ""peak"": 0.003312712883138499, ""low"": 0.000806427690472458, ""high"": 0.0020595702868054784, ""relative_power_proxy"": 0.17744772765008068, ""dynamic_ratio"": 18.418655243030532, ""incomplete_rise"": false, ""f0"": 58.27047018976124, ""kernel_samples"": 3029, ""support_ms"": 68.68480725623583, ""ENBW_hz"": 21.846103038309113, ""tuning_low_hz"": 57.10425644122018, ""tuning_high_hz"": 59.460500980884504, ""approx_first_null_halfwidth_hz"": 29.128137384412152}","[{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [49.296961451247164], ""baseline"": 0.0002581415023732052, ""peak"": 0.022133202907281036, ""low"": 0.004633153783354772, ""high"": 0.013383178345317904, ""relative_power_proxy"": 0.1962972396796804, ""dynamic_ratio"": 85.74058298956595, ""incomplete_rise"": false, ""f0"": 116.54094037952248, ""kernel_samples"": 1515, ""support_ms"": 34.35374149659864, ""ENBW_hz"": 43.692206076618234, ""tuning_low_hz"": 114.20851288244036, ""tuning_high_hz"": 118.92100196176901, ""approx_first_null_halfwidth_hz"": 58.256274768824305, ""harmonic_number"": 2, ""supports_primary_candidates"": [49.32390022675737]}, {""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [49.29197278911565, 49.31891156462585, 49.33986394557823], ""baseline"": 7.45328395702469e-05, ""peak"": 0.0028560544385436534, ""low"": 0.0006308371593649281, ""high"": 0.0017434457989542907, ""relative_power_proxy"": 0.03557082075891612, ""dynamic_ratio"": 38.31941000787758, ""incomplete_rise"": false, ""f0"": 174.81141056928374, ""kernel_samples"": 1011, ""support_ms"": 22.92517006802721, ""ENBW_hz"": 65.4950495049505, ""tuning_low_hz"": 171.31276932366055, ""tuning_high_hz"": 178.38150294265353, ""approx_first_null_halfwidth_hz"": 87.32673267326733, ""harmonic_number"": 3, ""supports_primary_candidates"": [49.32390022675737]}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_CLEAR
HF008,BP_0012,HF008_BP_0012_35,B1,35,61.7354126570155,49.669778684807255,49.92519818594104,49.51977868480726,49.819778684807254,23.145556333100068,2,2,TARGET_ONSET_CLEAR,[49.67809523809524],49.67809523809524,8.316553287983197,"{""status"": ""TARGET_ONSET_CLEAR"", ""candidate_s"": [49.67809523809524], ""baseline"": 0.0004778667889274625, ""peak"": 0.0035395812804922496, ""low"": 0.00109020968724042, ""high"": 0.0023148954838663346, ""relative_power_proxy"": 0.0889529049907093, ""dynamic_ratio"": 7.407045985423227, ""incomplete_rise"": false, ""f0"": 61.7354126570155, ""kernel_samples"": 2859, ""support_ms"": 64.82993197278913, ""ENBW_hz"": 23.145556333100068, ""tuning_low_hz"": 60.49985223030184, ""tuning_high_hz"": 62.99620636136179, ""approx_first_null_halfwidth_hz"": 30.86074177746676}","[{""status"": ""TARGET_ONSET_UNRESOLVED"", ""candidate_s"": [49.64916099773242], ""baseline"": 0.00045099611248710075, ""peak"": 0.017176365762799142, ""low"": 0.003796070042549509, ""high"": 0.010486217902674323, ""relative_power_proxy"": 0.2673445296565724, ""dynamic_ratio"": 38.08539649727117, ""incomplete_rise"": true, ""f0"": 123.470825314031, ""kernel_samples"": 1429, ""support_ms"": 32.40362811791383, ""ENBW_hz"": 46.3235294117647, ""tuning_low_hz"": 120.99970446060368, ""tuning_high_hz"": 125.99241272272359, ""approx_first_null_halfwidth_hz"": 61.76470588235294, ""harmonic_number"": 2, ""supports_primary_candidates"": [49.67809523809524]}, {""status"": ""TARGET_ONSET_MULTIPLE"", ""candidate_s"": [49.648163265306124, 49.67510204081633], ""baseline"": 2.4269289681837506e-05, ""peak"": 0.0029779546103396067, ""low"": 0.0006150063538133913, ""high"": 0.001796480482076499, ""relative_power_proxy"": 0.030222632985463686, ""dynamic_ratio"": 122.70464646389003, ""incomplete_rise"": false, ""f0"": 185.2062379710465, ""kernel_samples"": 953, ""support_ms"": 21.60997732426304, ""ENBW_hz"": 69.48529411764706, ""tuning_low_hz"": 181.4995566909055, ""tuning_high_hz"": 188.98861908408537, ""approx_first_null_halfwidth_hz"": 92.6470588235294, ""harmonic_number"": 3, ""supports_primary_candidates"": [49.67809523809524]}]",Conditional pitched-component observation; finite-band leakage and centered smoothing; original family ambiguity retained.,TARGET_ONSET_UNRESOLVED
