note_id,role,family_id,possible_family_ids,harmonic_number,cents_error,reason,root_score,native_hypothesis
BP_0003,ROOT_HYPOTHESIS,HF001,"[""HF001""]",1,0.0,first observed root proposal,0.6152796149253845,"{""note_id"": ""BP_0003"", ""onset_s"": ""47.79928843537415"", ""offset_s"": ""48.00826802721088"", ""midi_pitch"": ""39"", ""amplitude"": ""0.6152796149253845"", ""pitch_bends"": ""[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 47.79928843537415, ""offset"": 48.00826802721088, ""pitch"": 39, ""amp"": 0.6152796149253845, ""frequency_hz"": 77.78174593052023}"
BP_0004,ROOT_HYPOTHESIS,HF002,"[""HF002""]",1,0.0,new observed pitch incompatible with active harmonic families,0.404446542263031,"{""note_id"": ""BP_0004"", ""onset_s"": ""48.019878004535144"", ""offset_s"": ""48.194027664399094"", ""midi_pitch"": ""43"", ""amplitude"": ""0.404446542263031"", ""pitch_bends"": ""[-1, -1, 1, 1, -1, -1, 1, 1, 1, 2, 2, 2, 2, 2, 2]"", ""onset"": 48.019878004535144, ""offset"": 48.194027664399094, ""pitch"": 43, ""amp"": 0.404446542263031, ""frequency_hz"": 97.99885899543733}"
BP_0005,ROOT_HYPOTHESIS,HF003,"[""HF003""]",1,0.0,new observed pitch incompatible with active harmonic families,0.5759221911430359,"{""note_id"": ""BP_0005"", ""onset_s"": ""48.10114784580499"", ""offset_s"": ""48.61198684807256"", ""midi_pitch"": ""31"", ""amplitude"": ""0.5759221911430359"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]"", ""onset"": 48.10114784580499, ""offset"": 48.61198684807256, ""pitch"": 31, ""amp"": 0.5759221911430359, ""frequency_hz"": 48.999429497718666}"
BP_0006,HARMONIC_HYPOTHESIS,HF003,"[""HF003""]",2,0.0,frequency-compatible active family; separate higher note remains alternative,0.4584829807281494,"{""note_id"": ""BP_0006"", ""onset_s"": ""48.194027664399094"", ""offset_s"": ""48.48427709750567"", ""midi_pitch"": ""43"", ""amplitude"": ""0.4584829807281494"", ""pitch_bends"": ""[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1]"", ""onset"": 48.194027664399094, ""offset"": 48.48427709750567, ""pitch"": 43, ""amp"": 0.4584829807281494, ""frequency_hz"": 97.99885899543733}"
BP_0007,ROOT_HYPOTHESIS,HF004,"[""HF004""]",1,0.0,new observed pitch incompatible with active harmonic families,0.3802957832813263,"{""note_id"": ""BP_0007"", ""onset_s"": ""48.577156916099774"", ""offset_s"": ""48.797746485260774"", ""midi_pitch"": ""44"", ""amplitude"": ""0.3802957832813263"", ""pitch_bends"": ""[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 48.577156916099774, ""offset"": 48.797746485260774, ""pitch"": 44, ""amp"": 0.3802957832813263, ""frequency_hz"": 103.82617439498628}"
BP_0008,ROOT_HYPOTHESIS,HF005,"[""HF005""]",1,0.0,new observed pitch incompatible with active harmonic families,0.44558146595954895,"{""note_id"": ""BP_0008"", ""onset_s"": ""48.61198684807256"", ""offset_s"": ""48.77452653061224"", ""midi_pitch"": ""32"", ""amplitude"": ""0.44558146595954895"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"", ""onset"": 48.61198684807256, ""offset"": 48.77452653061224, ""pitch"": 32, ""amp"": 0.44558146595954895, ""frequency_hz"": 51.91308719749314}"
BP_0009,ROOT_HYPOTHESIS,HF006,"[""HF006""]",1,0.0,new observed pitch incompatible with active harmonic families,0.6119349002838135,"{""note_id"": ""BP_0009"", ""onset_s"": ""48.97189614512472"", ""offset_s"": ""49.20537959183673"", ""midi_pitch"": ""33"", ""amplitude"": ""0.6119349002838135"", ""pitch_bends"": ""[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"", ""onset"": 48.97189614512472, ""offset"": 49.20537959183673, ""pitch"": 33, ""amp"": 0.6119349002838135, ""frequency_hz"": 55.0}"
BP_0010,ROOT_HYPOTHESIS,HF007,"[""HF007""]",1,0.0,new observed pitch incompatible with active harmonic families,0.39700835943222046,"{""note_id"": ""BP_0010"", ""onset_s"": ""49.35630929705216"", ""offset_s"": ""49.54206893424036"", ""midi_pitch"": ""34"", ""amplitude"": ""0.39700835943222046"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 49.35630929705216, ""offset"": 49.54206893424036, ""pitch"": 34, ""amp"": 0.39700835943222046, ""frequency_hz"": 58.27047018976124}"
BP_0011,HARMONIC_HYPOTHESIS,HF008,"[""HF008""]",2,3.8441118045779003e-13,frequency-compatible active family; separate higher note remains alternative,0.34546005725860596,"{""note_id"": ""BP_0011"", ""onset_s"": ""49.65816870748299"", ""offset_s"": ""49.91358820861678"", ""midi_pitch"": ""47"", ""amplitude"": ""0.34546005725860596"", ""pitch_bends"": ""[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]"", ""onset"": 49.65816870748299, ""offset"": 49.91358820861678, ""pitch"": 47, ""amp"": 0.34546005725860596, ""frequency_hz"": 123.47082531403103}"
BP_0012,ROOT_HYPOTHESIS,HF008,"[""HF008""]",1,0.0,new observed pitch incompatible with active harmonic families,0.6981968283653259,"{""note_id"": ""BP_0012"", ""onset_s"": ""49.669778684807255"", ""offset_s"": ""49.92519818594104"", ""midi_pitch"": ""35"", ""amplitude"": ""0.525466799736023"", ""pitch_bends"": ""[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"", ""onset"": 49.669778684807255, ""offset"": 49.92519818594104, ""pitch"": 35, ""amp"": 0.525466799736023, ""frequency_hz"": 61.7354126570155}"
