event_id,section,IN_SCOPE,native_s,source_state,reference_available,PLP_peak_index,PLP_s,marker_offset_ms,PLP_interval_BPM,source_confidence,timing_kind,timing_confidence,numerical_attack_uncertainty_ms,performer_ahead_on_behind,coordinate_sign,native_grid_ms,source_context,source_adapter_sha256,ADTOF_event_id,ADTOF_distance_ms,MU_U_BASS_event_id,MU_U_DRUM_event_id,MU_C_DRUM_event_id,historical_Bass_links,exclusion_reason
F_MIX_00000,M1,True,0.7198185941043084,BASS_AND_DRUM_SUPPORTED,True,2,0.8126984126984127,-92.87981859410432,161.4990234375,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_0,9.81859410430841,UNCONSTRAINED_NEW_000_2,UNCONSTRAINED_NEW_000_3,TRIO_CONDITIONED_NEW_000_3,BASS_00000,
F_MIX_00001,M1,True,0.8359183673469388,DRUM_SUPPORTED,True,2,0.8126984126984127,23.21995464852611,161.49902343749997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_0,125.91836734693884,UNCONSTRAINED_NEW_000_5,UNCONSTRAINED_NEW_000_6,TRIO_CONDITIONED_NEW_000_6,,
F_MIX_00002,M1,True,0.8823582766439909,UNKNOWN,True,2,0.8126984126984127,69.65986394557821,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_0,172.35827664399096,UNCONSTRAINED_NEW_000_5,UNCONSTRAINED_NEW_000_6,TRIO_CONDITIONED_NEW_000_6,,
F_MIX_00003,M1,True,1.230657596371882,DRUM_SUPPORTED,True,3,1.18421768707483,46.439909297052,161.49902343750006,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_38_0,20.657596371882025,UNCONSTRAINED_NEW_000_10,UNCONSTRAINED_NEW_000_9,TRIO_CONDITIONED_NEW_000_8,,
F_MIX_00004,M1,True,1.474467120181406,UNKNOWN,True,4,1.555736961451247,-81.26984126984115,161.49902343750006,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_2,95.53287981859415,UNCONSTRAINED_NEW_000_10,UNCONSTRAINED_NEW_000_11,TRIO_CONDITIONED_NEW_000_10,BASS_00002,
F_MIX_00005,M1,True,1.5789569160997732,BASS_AND_DRUM_SUPPORTED,True,4,1.555736961451247,23.21995464852611,161.49902343749997,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_2,8.956916099773116,UNCONSTRAINED_NEW_000_13,UNCONSTRAINED_NEW_000_14,TRIO_CONDITIONED_NEW_000_13,BASS_00003,
F_MIX_00006,M1,True,1.7531065759637188,UNKNOWN,True,5,1.9272562358276644,-174.1496598639456,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_2,183.1065759637187,UNCONSTRAINED_NEW_000_13,UNCONSTRAINED_NEW_000_14,TRIO_CONDITIONED_NEW_000_15,,
F_MIX_00007,M1,True,1.8692063492063493,UNKNOWN,True,5,1.9272562358276644,-58.04988662131505,161.49902343749997,UNKNOWN,SOURCE_NEUTRAL_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_3,90.79365079365064,UNCONSTRAINED_NEW_000_13,UNCONSTRAINED_NEW_000_17,TRIO_CONDITIONED_NEW_000_15,,
F_MIX_00008,M1,True,1.9736961451247166,DRUM_SUPPORTED,True,5,1.9272562358276644,46.43990929705222,151.9990808823529,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,POSITIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_42_3,13.696145124716619,UNCONSTRAINED_NEW_000_21,UNCONSTRAINED_NEW_000_17,TRIO_CONDITIONED_NEW_000_15,,
F_MIX_00009,M1,True,2.1942857142857144,DRUM_SUPPORTED,True,6,2.3219954648526078,-127.70975056689338,151.9990808823529,PROVISIONAL_QUALIFIED_EVIDENCE,SOURCE_ASSOCIATED_NATIVE_MARKER,NUMERICAL_MARKER_ONLY_ATTACK_UNCERTAINTY_UNQUANTIFIED,,INDETERMINATE_UNQUANTIFIED_ATTACK_AND_REFERENCE_UNCERTAINTY,NEGATIVE,11.609977324263038,NEW_000,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,NEW_000_ADTOF_35_0,115.71428571428567,UNCONSTRAINED_NEW_000_21,UNCONSTRAINED_NEW_000_20,TRIO_CONDITIONED_NEW_000_17,,
