PLP_peak_index,Bass_only_marker_ids,Drum_only_marker_ids,dual_marker_ids,distinct_single_support_co_coverage,physical_pair_status,Bass_Drum_attack_delta_ms
2,,F_MIX_00001,F_MIX_00000,False,NOT_ESTABLISHED,
3,,F_MIX_00003,,False,NOT_ESTABLISHED,
4,,,F_MIX_00005,False,NOT_ESTABLISHED,
5,,F_MIX_00008,,False,NOT_ESTABLISHED,
6,,F_MIX_00009,F_MIX_00010,False,NOT_ESTABLISHED,
7,,F_MIX_00012,,False,NOT_ESTABLISHED,
8,,F_MIX_00015,,False,NOT_ESTABLISHED,
9,,F_MIX_00017,,False,NOT_ESTABLISHED,
10,,F_MIX_00018;F_MIX_00019,,False,NOT_ESTABLISHED,
11,,F_MIX_00021,,False,NOT_ESTABLISHED,
12,,F_MIX_00022,F_MIX_00023,False,NOT_ESTABLISHED,
13,,F_MIX_00025,,False,NOT_ESTABLISHED,
14,F_MIX_00026,F_MIX_00027,,True,NOT_ESTABLISHED,
15,,F_MIX_00028,F_MIX_00029,False,NOT_ESTABLISHED,
16,,F_MIX_00030,F_MIX_00031,False,NOT_ESTABLISHED,
17,,F_MIX_00032;F_MIX_00033;F_MIX_00034,,False,NOT_ESTABLISHED,
18,,F_MIX_00035,F_MIX_00036,False,NOT_ESTABLISHED,
19,,F_MIX_00038,,False,NOT_ESTABLISHED,
20,,,F_MIX_00039,False,NOT_ESTABLISHED,
21,,F_MIX_00040,,False,NOT_ESTABLISHED,
22,F_MIX_00041,F_MIX_00042,,True,NOT_ESTABLISHED,
23,,F_MIX_00043,F_MIX_00044,False,NOT_ESTABLISHED,
24,,,F_MIX_00046,False,NOT_ESTABLISHED,
25,,,F_MIX_00047,False,NOT_ESTABLISHED,
26,,F_MIX_00048,F_MIX_00049,False,NOT_ESTABLISHED,
27,,F_MIX_00050;F_MIX_00051,,False,NOT_ESTABLISHED,
28,,F_MIX_00052,F_MIX_00053,False,NOT_ESTABLISHED,
29,,F_MIX_00055,,False,NOT_ESTABLISHED,
30,F_MIX_00056,,,False,NOT_ESTABLISHED,
31,,F_MIX_00058;F_MIX_00059,,False,NOT_ESTABLISHED,
32,,F_MIX_00061;F_MIX_00062;F_MIX_00063;F_MIX_00064,,False,NOT_ESTABLISHED,
33,,,F_MIX_00066,False,NOT_ESTABLISHED,
34,,,F_MIX_00067,False,NOT_ESTABLISHED,
35,,F_MIX_00068,,False,NOT_ESTABLISHED,
36,,F_MIX_00070,F_MIX_00069,False,NOT_ESTABLISHED,
37,,F_MIX_00072;F_MIX_00073,,False,NOT_ESTABLISHED,
38,,,F_MIX_00075,False,NOT_ESTABLISHED,
39,,F_MIX_00076,,False,NOT_ESTABLISHED,
40,,F_MIX_00078,,False,NOT_ESTABLISHED,
41,,,F_MIX_00081,False,NOT_ESTABLISHED,
42,,,F_MIX_00083,False,NOT_ESTABLISHED,
43,,F_MIX_00085,,False,NOT_ESTABLISHED,
44,,,F_MIX_00087,False,NOT_ESTABLISHED,
45,,F_MIX_00088,,False,NOT_ESTABLISHED,
46,,,F_MIX_00090,False,NOT_ESTABLISHED,
47,,F_MIX_00091,,False,NOT_ESTABLISHED,
48,,F_MIX_00093,F_MIX_00094,False,NOT_ESTABLISHED,
49,,F_MIX_00096;F_MIX_00097,,False,NOT_ESTABLISHED,
50,,F_MIX_00100,,False,NOT_ESTABLISHED,
51,,F_MIX_00102,,False,NOT_ESTABLISHED,
52,,,F_MIX_00104,False,NOT_ESTABLISHED,
53,,F_MIX_00105,,False,NOT_ESTABLISHED,
54,F_MIX_00106,F_MIX_00108,,True,NOT_ESTABLISHED,
55,,,F_MIX_00110,False,NOT_ESTABLISHED,
56,,F_MIX_00111;F_MIX_00112,,False,NOT_ESTABLISHED,
57,,F_MIX_00113;F_MIX_00114,,False,NOT_ESTABLISHED,
58,,F_MIX_00116,,False,NOT_ESTABLISHED,
59,,F_MIX_00117,,False,NOT_ESTABLISHED,
60,,F_MIX_00118;F_MIX_00119,,False,NOT_ESTABLISHED,
61,,F_MIX_00120;F_MIX_00121,,False,NOT_ESTABLISHED,
62,,F_MIX_00122;F_MIX_00123,,False,NOT_ESTABLISHED,
63,,,F_MIX_00125,False,NOT_ESTABLISHED,
64,,F_MIX_00126,,False,NOT_ESTABLISHED,
65,,F_MIX_00127,F_MIX_00129,False,NOT_ESTABLISHED,
66,,F_MIX_00130,,False,NOT_ESTABLISHED,
67,,F_MIX_00133,F_MIX_00132,False,NOT_ESTABLISHED,
68,,,F_MIX_00135,False,NOT_ESTABLISHED,
69,,F_MIX_00136;F_MIX_00137,F_MIX_00138,False,NOT_ESTABLISHED,
70,,F_MIX_00139,F_MIX_00140,False,NOT_ESTABLISHED,
71,,F_MIX_00142,,False,NOT_ESTABLISHED,
72,,F_MIX_00145,,False,NOT_ESTABLISHED,
73,,F_MIX_00149,,False,NOT_ESTABLISHED,
74,,,F_MIX_00150,False,NOT_ESTABLISHED,
75,,,F_MIX_00151,False,NOT_ESTABLISHED,
76,,F_MIX_00152,,False,NOT_ESTABLISHED,
77,,,F_MIX_00154,False,NOT_ESTABLISHED,
78,,,F_MIX_00156,False,NOT_ESTABLISHED,
79,,,F_MIX_00157,False,NOT_ESTABLISHED,
80,,,F_MIX_00158,False,NOT_ESTABLISHED,
81,,F_MIX_00160,,False,NOT_ESTABLISHED,
82,,F_MIX_00162,,False,NOT_ESTABLISHED,
83,,F_MIX_00163,,False,NOT_ESTABLISHED,
84,,F_MIX_00165,,False,NOT_ESTABLISHED,
85,,F_MIX_00167,,False,NOT_ESTABLISHED,
86,,F_MIX_00169,,False,NOT_ESTABLISHED,
87,,F_MIX_00170,,False,NOT_ESTABLISHED,
88,,,,False,NOT_ESTABLISHED,
89,,F_MIX_00173;F_MIX_00174,,False,NOT_ESTABLISHED,
90,,F_MIX_00177,,False,NOT_ESTABLISHED,
91,,F_MIX_00178;F_MIX_00179,,False,NOT_ESTABLISHED,
92,,F_MIX_00180;F_MIX_00181,,False,NOT_ESTABLISHED,
93,,F_MIX_00183,,False,NOT_ESTABLISHED,
94,,F_MIX_00186,,False,NOT_ESTABLISHED,
95,,F_MIX_00187;F_MIX_00188,,False,NOT_ESTABLISHED,
96,,F_MIX_00190,,False,NOT_ESTABLISHED,
97,,F_MIX_00191,,False,NOT_ESTABLISHED,
98,,F_MIX_00192;F_MIX_00193,,False,NOT_ESTABLISHED,
99,,F_MIX_00195,,False,NOT_ESTABLISHED,
100,,F_MIX_00196,,False,NOT_ESTABLISHED,
101,,F_MIX_00198,,False,NOT_ESTABLISHED,
102,,F_MIX_00199,,False,NOT_ESTABLISHED,
103,,F_MIX_00200,,False,NOT_ESTABLISHED,
104,,F_MIX_00204,,False,NOT_ESTABLISHED,
105,,F_MIX_00207,,False,NOT_ESTABLISHED,
106,,F_MIX_00209,,False,NOT_ESTABLISHED,
107,,F_MIX_00210,,False,NOT_ESTABLISHED,
108,,F_MIX_00212,,False,NOT_ESTABLISHED,
109,,F_MIX_00214,,False,NOT_ESTABLISHED,
110,,F_MIX_00216,,False,NOT_ESTABLISHED,
111,,F_MIX_00218,,False,NOT_ESTABLISHED,
112,,F_MIX_00220,,False,NOT_ESTABLISHED,
113,,F_MIX_00221,F_MIX_00222,False,NOT_ESTABLISHED,
114,,F_MIX_00223,F_MIX_00224,False,NOT_ESTABLISHED,
115,,F_MIX_00225,,False,NOT_ESTABLISHED,
116,,F_MIX_00226,,False,NOT_ESTABLISHED,
117,,F_MIX_00228;F_MIX_00229;F_MIX_00230,,False,NOT_ESTABLISHED,
118,,,F_MIX_00231,False,NOT_ESTABLISHED,
119,,F_MIX_00232,,False,NOT_ESTABLISHED,
120,,F_MIX_00234,,False,NOT_ESTABLISHED,
121,,F_MIX_00235;F_MIX_00236,,False,NOT_ESTABLISHED,
122,,F_MIX_00239,F_MIX_00238,False,NOT_ESTABLISHED,
123,,,,False,NOT_ESTABLISHED,
125,,,,False,NOT_ESTABLISHED,
126,,,,False,NOT_ESTABLISHED,
127,,,,False,NOT_ESTABLISHED,
128,,,,False,NOT_ESTABLISHED,
129,,F_MIX_00248,,False,NOT_ESTABLISHED,
130,,,,False,NOT_ESTABLISHED,
131,,F_MIX_00253,,False,NOT_ESTABLISHED,
132,,F_MIX_00254,,False,NOT_ESTABLISHED,
133,,F_MIX_00255,,False,NOT_ESTABLISHED,
134,,F_MIX_00256;F_MIX_00257;F_MIX_00258,,False,NOT_ESTABLISHED,
135,,F_MIX_00259,,False,NOT_ESTABLISHED,
136,,F_MIX_00260,,False,NOT_ESTABLISHED,
137,,F_MIX_00261,,False,NOT_ESTABLISHED,
138,,F_MIX_00262,,False,NOT_ESTABLISHED,
139,,F_MIX_00264,,False,NOT_ESTABLISHED,
140,,,,False,NOT_ESTABLISHED,
141,,,,False,NOT_ESTABLISHED,
142,,F_MIX_00269;F_MIX_00270,,False,NOT_ESTABLISHED,
143,,F_MIX_00271;F_MIX_00272,,False,NOT_ESTABLISHED,
144,,F_MIX_00274,,False,NOT_ESTABLISHED,
145,,F_MIX_00275,,False,NOT_ESTABLISHED,
146,,F_MIX_00276;F_MIX_00277,,False,NOT_ESTABLISHED,
147,,F_MIX_00279,,False,NOT_ESTABLISHED,
148,,F_MIX_00280;F_MIX_00281,,False,NOT_ESTABLISHED,
149,,F_MIX_00283,,False,NOT_ESTABLISHED,
150,,F_MIX_00284,,False,NOT_ESTABLISHED,
151,,F_MIX_00285,,False,NOT_ESTABLISHED,
152,,F_MIX_00287,,False,NOT_ESTABLISHED,
153,,F_MIX_00289,,False,NOT_ESTABLISHED,
154,,F_MIX_00290;F_MIX_00291,,False,NOT_ESTABLISHED,
155,,F_MIX_00292,,False,NOT_ESTABLISHED,
156,,F_MIX_00293,,False,NOT_ESTABLISHED,
157,,F_MIX_00295,,False,NOT_ESTABLISHED,
158,,F_MIX_00296;F_MIX_00297,,False,NOT_ESTABLISHED,
159,,F_MIX_00298;F_MIX_00299,,False,NOT_ESTABLISHED,
160,,F_MIX_00300;F_MIX_00301,,False,NOT_ESTABLISHED,
161,,F_MIX_00303,,False,NOT_ESTABLISHED,
162,,F_MIX_00305,,False,NOT_ESTABLISHED,
163,,F_MIX_00306,,False,NOT_ESTABLISHED,
164,,,F_MIX_00309,False,NOT_ESTABLISHED,
165,,,F_MIX_00312,False,NOT_ESTABLISHED,
166,,,,False,NOT_ESTABLISHED,
167,,,F_MIX_00316,False,NOT_ESTABLISHED,
168,,F_MIX_00317,F_MIX_00318,False,NOT_ESTABLISHED,
169,,,F_MIX_00319,False,NOT_ESTABLISHED,
170,,F_MIX_00321,,False,NOT_ESTABLISHED,
171,,,F_MIX_00323,False,NOT_ESTABLISHED,
172,,,F_MIX_00324,False,NOT_ESTABLISHED,
173,,F_MIX_00325;F_MIX_00326,,False,NOT_ESTABLISHED,
174,,F_MIX_00327,,False,NOT_ESTABLISHED,
175,,F_MIX_00328,,False,NOT_ESTABLISHED,
176,,F_MIX_00329;F_MIX_00330,,False,NOT_ESTABLISHED,
177,,F_MIX_00332,,False,NOT_ESTABLISHED,
178,,F_MIX_00334,,False,NOT_ESTABLISHED,
179,,F_MIX_00335,,False,NOT_ESTABLISHED,
180,,,F_MIX_00337,False,NOT_ESTABLISHED,
181,,,F_MIX_00338,False,NOT_ESTABLISHED,
182,,F_MIX_00339,F_MIX_00340,False,NOT_ESTABLISHED,
183,,,F_MIX_00341,False,NOT_ESTABLISHED,
184,,F_MIX_00343,,False,NOT_ESTABLISHED,
185,,F_MIX_00345,,False,NOT_ESTABLISHED,
186,,F_MIX_00346;F_MIX_00347,,False,NOT_ESTABLISHED,
187,,,F_MIX_00350,False,NOT_ESTABLISHED,
188,,F_MIX_00351,,False,NOT_ESTABLISHED,
189,,,F_MIX_00353,False,NOT_ESTABLISHED,
190,,F_MIX_00355,,False,NOT_ESTABLISHED,
191,,F_MIX_00357,,False,NOT_ESTABLISHED,
192,,F_MIX_00359,,False,NOT_ESTABLISHED,
193,,F_MIX_00360;F_MIX_00361,,False,NOT_ESTABLISHED,
194,,F_MIX_00362,,False,NOT_ESTABLISHED,
195,,F_MIX_00365,,False,NOT_ESTABLISHED,
196,,F_MIX_00366;F_MIX_00367,,False,NOT_ESTABLISHED,
197,,F_MIX_00369,,False,NOT_ESTABLISHED,
198,,F_MIX_00370;F_MIX_00371,,False,NOT_ESTABLISHED,
199,,F_MIX_00372,,False,NOT_ESTABLISHED,
200,,F_MIX_00373;F_MIX_00374,,False,NOT_ESTABLISHED,
