event_id,section,native_anchor_s,PLP_peak_index,PLP_s,estimate_s,attack_offset_ms,review_lo_s,review_hi_s,review_offset_lo_ms,review_offset_hi_ms,status,original_split,confidence,interval_semantics,conditional_fixed_reference_sign,performer_ahead_on_behind,reason,reference_origin,reference_event_id,reference_note,PI_source_note
F_MIX_01024,M4,205.8100680272109,568,205.84489795918367,205.795283446712,-49.614512471663375,205.79,205.798,-54.8979591836769,-46.897959183667126,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,DERIVATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00591,Drums-only interior; sharp broadband attack after quiet lead-in.,Drum fill only. Hi-hat maintains 2 and 4.
F_MIX_01027,M4,206.50666666666666,570,206.56471655328798,206.49768707482994,-67.0294784580392,206.494,206.502,-70.71655328797988,-62.7165532879701,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,DERIVATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00594,Drums-only interior; sharp broadband attack after quiet lead-in.,Drum fill only. No Bass and no Piano. Ends with an open hi-hat articulation.
F_MIX_01085,M4,218.1863038548753,602,218.19791383219956,218.17215419501133,-25.759637188230045,218.166,218.174,-31.913832199563785,-23.913832199554008,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_DRUM_TIMING_GRADE_PROSPECTIVE_001_20260920/VALIDATION_EVENT_REVIEW.json,DRUM_00630,Drums-only secure interior; isolated sharp broadband attack.,Initial Piano stop/chord with audible tail; Drum fill; later a light Piano chord is audible. No Bass.
F_MIX_01088,M4,218.70875283446713,603,218.54621315192745,218.68798185941043,141.76870748298143,218.684,218.692,137.78684807255104,145.78684807256082,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,BEHIND_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00636,Drums-only interior; sharp broadband onset within ongoing drum texture.,Drum fill; hi-hat continues on 2 and 4; light Piano chords are audible. No Bass.
F_MIX_01091,M4,218.94095238095238,604,218.91773242630384,218.92743764172334,9.7052154195012,218.923,218.931,5.267573696158934,13.26757369616871,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,BEHIND_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_DRUM_TIMING_GRADE_PROSPECTIVE_001_20260920/VALIDATION_EVENT_REVIEW.json,DRUM_00639,Drums-only secure interior; sharp attack amid drum decay.,Drum fill only with one Piano chord behind it. No Bass.
F_MIX_01092,M4,219.19637188208617,605,219.28925170068027,219.17786848072564,-111.3832199546323,219.173,219.181,-116.25170068026591,-108.25170068025614,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00642,Drums-only interior; sharp onset followed by low periodic energy.,Drum fill only. Hi-hat continues marking 2 and 4.
F_MIX_01094,M4,219.61433106575964,606,219.6607709750567,219.59492063492064,-65.85034013605195,219.587,219.595,-73.77097505670349,-65.77097505669371,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_DRUM_TIMING_GRADE_PROSPECTIVE_001_20260920/VALIDATION_EVENT_REVIEW.json,DRUM_00647,Drums-only secure interior; distinct sharp attack.,Drum fill only. Hi-hat continues marking 2 and 4.
F_MIX_01132,M4,227.99673469387756,629,228.06639455782312,227.98185941043084,-84.5351473922733,227.978,227.986,-88.39455782310779,-80.39455782312643,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00688,Drums-only interior; sharp new attack after quiet lead-in.,"Piano and Bass strike together on the initial downbeat and stop. A free Drum fill follows. Bass is therefore present in the clip, but PI does not identify a Bass attack near the central candidate."
F_MIX_01134,M4,228.76299319727892,631,228.80943310657597,228.75510204081633,-54.33106575964075,228.751,228.759,-58.43310657596135,-50.43310657597999,QUALIFIED_EXPOSED_DRUM_ACOUSTIC_ESTIMATE,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,AHEAD_OF_FIXED_PLP_COORDINATE,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,first sustained sharp energy emergence in both channels,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_00694,Drums-only interior; sharp broadband attack.,"First Piano chord in stop, then free Drum fill. No Bass."
F_MIX_01136,M4,229.13451247165534,632,229.1809523809524,,,229.116,229.124,-64.9523809523771,-56.95238095239574,ABSTAIN,VALIDATION,PROMISING_EXPOSED_DRUM_ONLY_NOT_PHYSICAL_GT,HISTORICAL_BOUNDED_VISUAL_REVIEW_NOT_CALIBRATED_CONFIDENCE_INTERVAL,,INDETERMINATE_INTENDED_BEAT_AND_REFERENCE_UNCERTAINTY,insufficient sharp rise relative to baseline,docs/scientific/rfc/JGA_MARKER_ATTACK_CALIBRATION_001_EXACTLY_LIKE_YOU_20260920/CALIBRATION_EVENTS.json,DRUM_FMIX_00965,Drums-only interior; sharp mixture attack; alternate F_MIX-substitution marker path.,"Piano stop on first beat, then Drum fill. Hi-hat continues marking 2 and 4."
