JGA_EVENT_ID,native_timestamp,context,source_state_provisional,adapter_sha256,ADTOF_available,ADTOF_DRUM_event_id,ADTOF_DRUM_timestamp_s,ADTOF_DRUM_distance_ms,ADTOF_DRUM_raw_label,ADTOF_DRUM_support_10ms,ADTOF_DRUM_support_20ms,ADTOF_DRUM_support_35ms,ADTOF_DRUM_support_50ms,MU_U_available,MU_U_DRUM_event_id,MU_U_DRUM_timestamp_s,MU_U_DRUM_distance_ms,MU_U_DRUM_raw_label,MU_U_DRUM_support_10ms,MU_U_DRUM_support_20ms,MU_U_DRUM_support_35ms,MU_U_DRUM_support_50ms,MU_U_BASS_event_id,MU_U_BASS_timestamp_s,MU_U_BASS_distance_ms,MU_U_BASS_raw_label,MU_U_BASS_support_10ms,MU_U_BASS_support_20ms,MU_U_BASS_support_35ms,MU_U_BASS_support_50ms,MU_U_PIANO_event_id,MU_U_PIANO_timestamp_s,MU_U_PIANO_distance_ms,MU_U_PIANO_raw_label,MU_U_PIANO_support_10ms,MU_U_PIANO_support_20ms,MU_U_PIANO_support_35ms,MU_U_PIANO_support_50ms,MU_U_OTHER_event_id,MU_U_OTHER_timestamp_s,MU_U_OTHER_distance_ms,MU_U_OTHER_raw_label,MU_U_OTHER_support_10ms,MU_U_OTHER_support_20ms,MU_U_OTHER_support_35ms,MU_U_OTHER_support_50ms,MU_C_available,MU_C_DRUM_event_id,MU_C_DRUM_timestamp_s,MU_C_DRUM_distance_ms,MU_C_DRUM_raw_label,MU_C_DRUM_support_10ms,MU_C_DRUM_support_20ms,MU_C_DRUM_support_35ms,MU_C_DRUM_support_50ms,MU_C_BASS_event_id,MU_C_BASS_timestamp_s,MU_C_BASS_distance_ms,MU_C_BASS_raw_label,MU_C_BASS_support_10ms,MU_C_BASS_support_20ms,MU_C_BASS_support_35ms,MU_C_BASS_support_50ms,MU_C_PIANO_event_id,MU_C_PIANO_timestamp_s,MU_C_PIANO_distance_ms,MU_C_PIANO_raw_label,MU_C_PIANO_support_10ms,MU_C_PIANO_support_20ms,MU_C_PIANO_support_35ms,MU_C_PIANO_support_50ms,MU_C_OTHER_event_id,MU_C_OTHER_timestamp_s,MU_C_OTHER_distance_ms,MU_C_OTHER_raw_label,MU_C_OTHER_support_10ms,MU_C_OTHER_support_20ms,MU_C_OTHER_support_35ms,MU_C_OTHER_support_50ms,frozen_Bass_native_links,source_state,UNKNOWN_reason,CONFLICT_reason,missing_streams,MU_Drum_condition_disagreement,MU_Bass_condition_disagreement,historical_frozen_state_preserved,acoustic_boundary_margin_flag
F_MIX_00000,0.7198185941043084,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_0,0.71,9.81859410430841,42,True,True,True,True,True,UNCONSTRAINED_NEW_000_3,0.71,9.81859410430841,drums,True,True,True,True,UNCONSTRAINED_NEW_000_2,0.71,9.81859410430841,electric_bass,True,True,True,True,UNCONSTRAINED_NEW_000_0,0.71,9.81859410430841,acoustic_piano,True,True,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_3,0.7,19.818594104308417,drums,False,True,True,True,TRIO_CONDITIONED_NEW_000_2,0.7,19.818594104308417,acoustic_bass,False,True,True,True,TRIO_CONDITIONED_NEW_000_0,0.7,19.818594104308417,acoustic_piano,False,True,True,True,,,,,False,False,False,False,BASS_00000,BASS_AND_DRUM_SUPPORTED,,,,False,False,False,False
F_MIX_00001,0.8359183673469388,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_0,0.71,125.91836734693884,42,False,False,False,False,True,UNCONSTRAINED_NEW_000_6,0.85,14.08163265306117,drums,False,True,True,True,UNCONSTRAINED_NEW_000_5,0.85,14.08163265306117,electric_bass,False,True,True,True,UNCONSTRAINED_NEW_000_4,0.85,14.08163265306117,acoustic_piano,False,True,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_6,0.84,4.081632653061162,drums,True,True,True,True,TRIO_CONDITIONED_NEW_000_5,0.84,4.081632653061162,acoustic_bass,True,True,True,True,TRIO_CONDITIONED_NEW_000_4,0.84,4.081632653061162,acoustic_piano,True,True,True,True,,,,,False,False,False,False,,DRUM_SUPPORTED,,,,False,False,False,False
F_MIX_00002,0.8823582766439909,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_0,0.71,172.35827664399096,42,False,False,False,False,True,UNCONSTRAINED_NEW_000_6,0.85,32.35827664399093,drums,False,False,True,True,UNCONSTRAINED_NEW_000_5,0.85,32.35827664399093,electric_bass,False,False,True,True,UNCONSTRAINED_NEW_000_4,0.85,32.35827664399093,acoustic_piano,False,False,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_6,0.84,42.35827664399095,drums,False,False,False,True,TRIO_CONDITIONED_NEW_000_5,0.84,42.35827664399095,acoustic_bass,False,False,False,True,TRIO_CONDITIONED_NEW_000_4,0.84,42.35827664399095,acoustic_piano,False,False,False,True,,,,,False,False,False,False,,UNKNOWN,INSUFFICIENT_SUPPORT_UNDER_FROZEN_RULE,,,True,True,False,False
F_MIX_00003,1.230657596371882,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_38_0,1.21,20.657596371882025,38,False,False,True,True,True,UNCONSTRAINED_NEW_000_9,1.22,10.657596371882017,drums,False,True,True,True,UNCONSTRAINED_NEW_000_10,1.42,189.34240362811795,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_8,1.22,10.657596371882017,acoustic_piano,False,True,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_8,1.21,20.657596371882025,drums,False,False,True,True,TRIO_CONDITIONED_NEW_000_9,1.43,199.34240362811795,acoustic_bass,False,False,False,False,TRIO_CONDITIONED_NEW_000_7,1.21,20.657596371882025,acoustic_piano,False,False,True,True,,,,,False,False,False,False,,DRUM_SUPPORTED,,,,False,False,False,False
F_MIX_00004,1.474467120181406,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_2,1.57,95.53287981859415,42,False,False,False,False,True,UNCONSTRAINED_NEW_000_11,1.42,54.46712018140598,drums,False,False,False,False,UNCONSTRAINED_NEW_000_10,1.42,54.46712018140598,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_12,1.57,95.53287981859415,acoustic_piano,False,False,False,False,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_10,1.43,44.467120181405974,drums,False,False,False,True,TRIO_CONDITIONED_NEW_000_9,1.43,44.467120181405974,acoustic_bass,False,False,False,True,TRIO_CONDITIONED_NEW_000_11,1.56,85.53287981859414,acoustic_piano,False,False,False,False,,,,,False,False,False,False,BASS_00002,UNKNOWN,INSUFFICIENT_SUPPORT_UNDER_FROZEN_RULE,,,False,False,False,False
F_MIX_00005,1.5789569160997732,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_2,1.57,8.956916099773116,42,True,True,True,True,True,UNCONSTRAINED_NEW_000_14,1.57,8.956916099773116,drums,True,True,True,True,UNCONSTRAINED_NEW_000_13,1.57,8.956916099773116,electric_bass,True,True,True,True,UNCONSTRAINED_NEW_000_12,1.57,8.956916099773116,acoustic_piano,True,True,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_13,1.56,18.956916099773125,drums,False,True,True,True,TRIO_CONDITIONED_NEW_000_12,1.56,18.956916099773125,acoustic_bass,False,True,True,True,TRIO_CONDITIONED_NEW_000_11,1.56,18.956916099773125,acoustic_piano,False,True,True,True,,,,,False,False,False,False,BASS_00003,BASS_AND_DRUM_SUPPORTED,,,,False,False,False,False
F_MIX_00006,1.7531065759637188,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_2,1.57,183.1065759637187,42,False,False,False,False,True,UNCONSTRAINED_NEW_000_14,1.57,183.1065759637187,drums,False,False,False,False,UNCONSTRAINED_NEW_000_13,1.57,183.1065759637187,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_16,1.82,66.89342403628129,acoustic_piano,False,False,False,False,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_15,1.94,186.89342403628117,drums,False,False,False,False,TRIO_CONDITIONED_NEW_000_12,1.56,193.1065759637187,acoustic_bass,False,False,False,False,TRIO_CONDITIONED_NEW_000_14,1.82,66.89342403628129,acoustic_piano,False,False,False,False,,,,,False,False,False,False,,UNKNOWN,INSUFFICIENT_SUPPORT_UNDER_FROZEN_RULE,,,False,False,False,False
F_MIX_00007,1.8692063492063493,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_3,1.96,90.79365079365064,42,False,False,False,False,True,UNCONSTRAINED_NEW_000_17,1.95,80.79365079365064,drums,False,False,False,False,UNCONSTRAINED_NEW_000_13,1.57,299.2063492063493,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_16,1.82,49.20634920634925,acoustic_piano,False,False,False,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_15,1.94,70.79365079365063,drums,False,False,False,False,TRIO_CONDITIONED_NEW_000_12,1.56,309.2063492063493,acoustic_bass,False,False,False,False,TRIO_CONDITIONED_NEW_000_14,1.82,49.20634920634925,acoustic_piano,False,False,False,True,,,,,False,False,False,False,,UNKNOWN,INSUFFICIENT_SUPPORT_UNDER_FROZEN_RULE,,,False,False,False,False
F_MIX_00008,1.9736961451247166,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_42_3,1.96,13.696145124716619,42,False,True,True,True,True,UNCONSTRAINED_NEW_000_17,1.95,23.69614512471663,drums,False,False,True,True,UNCONSTRAINED_NEW_000_21,2.29,316.30385487528343,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_16,1.82,153.6961451247165,acoustic_piano,False,False,False,False,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_15,1.94,33.69614512471664,drums,False,False,True,True,TRIO_CONDITIONED_NEW_000_18,2.29,316.30385487528343,acoustic_bass,False,False,False,False,TRIO_CONDITIONED_NEW_000_14,1.82,153.6961451247165,acoustic_piano,False,False,False,False,,,,,False,False,False,False,,DRUM_SUPPORTED,,,,False,False,False,False
F_MIX_00009,2.1942857142857144,NEW_000,True,c7efaf8d2029ed140d67b7cbfff1c23fd33e0ffcae18f285566266c063f78e1c,True,NEW_000_ADTOF_35_0,2.31,115.71428571428567,35,False,False,False,False,True,UNCONSTRAINED_NEW_000_20,2.16,34.28571428571425,drums,False,False,True,True,UNCONSTRAINED_NEW_000_21,2.29,95.71428571428564,electric_bass,False,False,False,False,UNCONSTRAINED_NEW_000_19,2.16,34.28571428571425,acoustic_piano,False,False,True,True,,,,,False,False,False,False,True,TRIO_CONDITIONED_NEW_000_17,2.16,34.28571428571425,drums,False,False,True,True,TRIO_CONDITIONED_NEW_000_18,2.29,95.71428571428564,acoustic_bass,False,False,False,False,TRIO_CONDITIONED_NEW_000_16,2.16,34.28571428571425,acoustic_piano,False,False,True,True,,,,,False,False,False,False,,DRUM_SUPPORTED,,,,False,False,False,False
