section,category,semantics,population_N,coverage_fraction,N,median_ms,mean_ms,Q1_ms,Q3_ms,IQR_ms,MAD_ms,SD_ms,median_abs_ms,min_ms,max_ms
WHOLE,ALL_NATIVE,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,1.0,1606,-11.609977324248177,-12.860616226565003,-69.65986394556012,34.82993197278006,104.48979591834018,46.439909297063764,63.57617623804632,46.43990929704955,-185.7596371881982,197.3696145124677
WHOLE,BASS_INCLUSIVE,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.12764632627646327,205,11.609977324269494,9.344615895139018,0.0,34.82993197278006,34.82993197278006,23.219954648510566,33.49732156008203,23.219954648524777,-116.0997732426381,69.65986394557966
WHOLE,DRUM_INCLUSIVE,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.6793275217932753,1091,11.609977324269494,0.8406858007491658,-34.82993197278983,34.82993197279427,69.6598639455841,23.219954648538987,50.59606218801614,34.82993197279427,-174.14965986395714,197.3696145124677
WHOLE,BASS_SUPPORTED,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.00560398505603985,9,-69.65986394557788,-49.019904257994966,-81.26984126982961,-46.43990929704955,34.82993197278006,11.609977324265941,53.13317816694429,69.65986394557788,-104.4897959183686,46.439909297063764
WHOLE,DRUM_SUPPORTED,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.5572851805728518,895,11.609977324269494,-1.6085331711822497,-46.43990929705133,34.82993197279427,81.2698412698456,34.82993197278006,53.785364233722674,34.82993197280848,-174.14965986395714,197.3696145124677
WHOLE,BASS_AND_DRUM_SUPPORTED,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.12204234122042341,196,11.609977324269494,12.024619371558439,0.0,34.82993197278006,34.82993197278006,23.219954648482144,29.89312643772072,23.219954648510566,-116.0997732426381,69.65986394557966
WHOLE,UNKNOWN,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,1606,0.3150684931506849,506,-58.04988662131905,-41.759206976598385,-81.26984126983494,-34.82993197278006,46.43990929705488,23.21995464852833,77.52615169713172,69.65986394557788,-185.7596371881982,185.75963718821242
WHOLE,REFINED_DRUM,QUALIFIED_ACOUSTIC_ESTIMATE_FIXED_REFERENCE_GEOMETRY,10,0.9,9,-54.33106575964075,-34.1143864953387,-67.0294784580392,-25.759637188230045,41.26984126980915,28.571428571410706,74.31107749444921,65.85034013605195,-111.3832199546323,141.76870748298143
M1,ALL_NATIVE,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,252,1.0,252,0.0,-12.070690710146394,-69.65986394557788,34.82993197279005,104.48979591836793,46.439909297053106,66.59191667547371,46.439909297053106,-174.14965986395003,185.75963718820887
M1,BASS_INCLUSIVE,MARKER_GEOMETRY_NOT_PERFORMER_MICROTIMING,252,0.1746031746031746,44,23.219954648526333,12.401566687280898,0.0,46.439909297049994,46.439909297049994,23.219954648526333,41.249172899528254,34.829931972787165,-92.87981859410432,69.65986394557966
